,state,Coal_variable_om_per_mwh,Coal_fixed_om_per_kw_year,Coal_capital_cost_per_kw,Gas_variable_om_per_mwh,Gas_fixed_om_per_kw_year,Gas_capital_cost_per_kw,Gas_CC_variable_om_per_mwh,Gas_CC_fixed_om_per_kw_year,Gas_CC_capital_cost_per_kw,Gas_SC_variable_om_per_mwh,Gas_SC_fixed_om_per_kw_year,Gas_SC_capital_cost_per_kw,Wind_variable_om_per_mwh,Wind_fixed_om_per_kw_year,Wind_capital_cost_per_kw,Solar_variable_om_per_mwh,Solar_fixed_om_per_kw_year,Solar_capital_cost_per_kw,Wind_storage_om_per_kw_year,Wind_storage_cap_per_kw,Solar_storage_om_per_kw_year,Solar_storage_cap_per_kw,Gas_storage_om_per_kw_year,Gas_storage_cap_per_kw,Gas_CC_storage_om_per_kw_year,Gas_CC_storage_cap_per_kw,Gas_SC_storage_om_per_kw_year,Gas_SC_storage_cap_per_kw,Coal_storage_cap_per_kw,Coal_storage_om_per_kw_year
13,AZ,13.039432448573999,106.8062421521,4449.2346556346,1.8391331513155997,28.078129429167994,1031.1827198391597,1.8391331513155997,28.078129429167994,1031.1827198391597,4.5654043675872,61.271973505055996,2266.57115592,0.0,39.63056455096,1277.120539832,0.0,19.806749860464,1111.6850056307999,29.762414410679998,1190.509603152,31.454302698756,1258.1858751984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,VA,13.358553447599999,109.42016839714283,4558.123153182856,1.802922798067286,27.525304319982858,1010.8799535483001,1.802922798067286,27.525304319982858,1010.8799535483001,4.4605351042662855,59.86453043838857,2214.5070607714288,0.0,40.681819893968566,1310.997922260857,0.0,19.802306145200006,1111.4355951185717,30.551903471069995,1222.0895111194284,31.44724581330001,1257.903596691429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,MS,12.506262113603999,102.43903367659999,4267.3095648716,1.6748390857653996,25.569844461511995,939.0647558699399,1.6748390857653996,25.569844461511995,939.0647558699399,4.269591639658,57.301891521339996,2119.70999255,0.0,38.68502203574,1246.649821558,0.0,19.021323187552,1067.6016975944,29.05231531167,1162.1053283879999,30.206998194408,1208.2931490912001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,MO,12.75051792518,104.43973773033333,4350.653025255333,1.675525073513,25.58031746764,939.4493820243,1.675525073513,25.58031746764,939.4493820243,4.247943399417666,57.011351999396666,2108.9623625583336,0.0,39.925190117296665,1286.6150390043333,0.0,19.473656370466667,1092.9896093183334,29.983677173415,1199.360210506,30.925330326450002,1237.0267487800002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,RI,14.135849393820001,115.787014453,4823.347278178,1.9121908464350001,29.1935045818,1072.1454052785,1.9121908464350001,29.1935045818,1072.1454052785,4.62993009011,62.1379687253,2298.6060272500004,0.0,41.480539037259994,1336.7371625419999,0.0,20.76325957104,1165.370618388,31.151738734829998,1246.0831842119999,32.97329729316,1318.946323824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,LA,12.569148871062,102.9541403173,4288.7673960898,1.6899308162126,25.800250596328002,947.5265312658601,1.6899308162126,25.800250596328002,947.5265312658601,4.296407524342801,57.661785638844,2133.0231858300003,0.0,38.6439114916,1245.32500772,0.0,19.16907672008,1075.894597126,29.0214414378,1160.87035992,30.44163963582,1217.678909448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,TN,12.8200123491825,105.008967894875,4374.36548366675,1.71711308071125,26.21524346415,962.767342632375,1.71711308071125,26.21524346415,962.767342632375,4.321966414433001,58.00480971959001,2145.712323175,0.0,39.743618547345,1280.7637778865,0.0,19.47041616142,1092.8077474865,29.8473175638225,1193.905766439,30.920184680805,1236.8209207020002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NE,12.634769835366,103.4916428989,4311.1581764914,1.6734671102702001,25.548898449256,938.29550356122,1.6734671102702001,25.548898449256,938.29550356122,4.256183697315599,57.12194446258799,2113.05339591,0.0,39.433233939088,1270.7614334095997,0.0,19.51901929712,1095.535674964,29.614219816103997,1184.5817545055997,30.99736936548,1239.908341872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KS,12.497603791925002,102.36811319708335,4264.355225790834,1.678383355794667,25.62395499317334,941.0519910008002,1.678383355794667,25.62395499317334,941.0519910008002,4.277273273291667,57.404986190416665,2123.5236677083335,0.0,39.055016933,1258.5731461,0.0,19.324606754319998,1084.6239650539999,29.3301801765,1173.2200446,30.68863062678,1227.558657192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AK,15.202190063760002,124.52143140400001,5187.197459704001,2.112842262608,32.25685887424,1184.6485554288,2.112842262608,32.25685887424,1184.6485554288,4.914848864886,65.96184372378,2440.0587058500005,0.0,43.3716240677,1397.67859909,0.0,21.85196981072,1226.4761938840002,32.57193693285,1302.89173374,34.702234229880006,1388.104558032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
