,state,Coal_variable_om_per_mwh,Coal_fixed_om_per_kw_year,Coal_capital_cost_per_kw,Gas_variable_om_per_mwh,Gas_fixed_om_per_kw_year,Gas_capital_cost_per_kw,Gas_CC_variable_om_per_mwh,Gas_CC_fixed_om_per_kw_year,Gas_CC_capital_cost_per_kw,Gas_SC_variable_om_per_mwh,Gas_SC_fixed_om_per_kw_year,Gas_SC_capital_cost_per_kw,Wind_variable_om_per_mwh,Wind_fixed_om_per_kw_year,Wind_capital_cost_per_kw,Solar_variable_om_per_mwh,Solar_fixed_om_per_kw_year,Solar_capital_cost_per_kw,Wind_storage_om_per_kw_year,Wind_storage_cap_per_kw,Solar_storage_om_per_kw_year,Solar_storage_cap_per_kw,Gas_storage_om_per_kw_year,Gas_storage_cap_per_kw,Gas_CC_storage_om_per_kw_year,Gas_CC_storage_cap_per_kw,Gas_SC_storage_om_per_kw_year,Gas_SC_storage_cap_per_kw,Coal_storage_cap_per_kw,Coal_storage_om_per_kw_year
14,VA,13.358553447599999,109.42016839714283,4558.123153182856,1.802922798067286,27.525304319982858,1010.8799535483001,1.802922798067286,27.525304319982858,1010.8799535483001,4.4605351042662855,59.86453043838857,2214.5070607714288,0.0,40.681819893968566,786.5987533565142,0.0,19.802306145200006,666.861357071143,30.551903471069995,733.253706671657,31.44724581330001,754.7421580148573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,MS,12.506262113603999,102.43903367659999,4267.3095648716,1.6748390857653996,25.569844461511995,939.0647558699399,1.6748390857653996,25.569844461511995,939.0647558699399,4.269591639658,57.301891521339996,2119.70999255,0.0,38.68502203574,747.9898929348,0.0,19.021323187552,640.56101855664,29.05231531167,697.2631970327999,30.206998194408,724.9758894547201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,MO,12.75051792518,104.43973773033333,4350.653025255333,1.675525073513,25.58031746764,939.4493820243,1.675525073513,25.58031746764,939.4493820243,4.247943399417666,57.011351999396666,2108.9623625583336,0.0,39.925190117296665,771.9690234026,0.0,19.473656370466667,655.793765591,29.983677173415,719.6161263035999,30.925330326450002,742.216049268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,RI,14.135849393820001,115.787014453,4823.347278178,1.9121908464350001,29.1935045818,1072.1454052785,1.9121908464350001,29.1935045818,1072.1454052785,4.62993009011,62.1379687253,2298.6060272500004,0.0,41.480539037259994,802.0422975251998,0.0,20.76325957104,617.6464277456399,31.151738734829998,747.6499105271998,32.97329729316,699.04155162672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,LA,12.569148871062,102.9541403173,4288.7673960898,1.6899308162126,25.800250596328002,947.5265312658601,1.6899308162126,25.800250596328002,947.5265312658601,4.296407524342801,57.661785638844,2133.0231858300003,0.0,38.6439114916,747.1950046320001,0.0,19.16907672008,645.5367582756,29.0214414378,696.522215952,30.44163963582,730.6073456688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,TN,12.8200123491825,105.008967894875,4374.36548366675,1.71711308071125,26.21524346415,962.767342632375,1.71711308071125,26.21524346415,962.767342632375,4.321966414433001,58.00480971959001,2145.712323175,0.0,39.743618547345,678.804802279845,0.0,19.47041616142,579.1881061678449,29.8473175638225,632.7700562126699,30.920184680805,655.5150879720601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NE,12.634769835366,103.4916428989,4311.1581764914,1.6734671102702001,25.548898449256,938.29550356122,1.6734671102702001,25.548898449256,938.29550356122,4.256183697315599,57.12194446258799,2113.05339591,0.0,39.433233939088,762.4568600457599,0.0,19.51901929712,597.0669428553799,29.614219816103997,710.7490527033599,30.99736936548,675.7500463202399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KS,12.497603791925002,102.36811319708335,4264.355225790834,1.678383355794667,25.62395499317334,941.0519910008002,1.678383355794667,25.62395499317334,941.0519910008002,4.277273273291667,57.404986190416665,2123.5236677083335,0.0,39.055016933,755.14388766,0.0,19.324606754319998,650.7743790323999,29.3301801765,703.9320267599999,30.68863062678,736.5351943152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AK,15.202190063760002,124.52143140400001,5187.197459704001,2.112842262608,32.25685887424,1184.6485554288,2.112842262608,32.25685887424,1184.6485554288,4.914848864886,65.96184372378,2440.0587058500005,0.0,43.3716240677,838.607159454,0.0,21.85196981072,735.8857163304001,32.57193693285,781.7350402440001,34.702234229880006,832.8627348192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,HI,13.67103423,111.9797045,4664.745917,1.714969369,26.18251532,961.5653859,1.714969369,26.18251532,961.5653859,4.189981982,56.23345586,2080.18645,0.0,41.11054414,794.8883028,0.0,19.44125428,654.7025945999999,30.87387387,740.9810808,30.87387387,740.9810808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,OK,12.597858042945,103.18929769674999,4298.563362515501,1.686458003240375,25.747231002805,945.5793613594125,1.686458003240375,25.747231002805,945.5793613594125,4.28478032434275,57.50573779883249,2127.25066843125,0.0,39.2554308356825,759.01896813615,0.0,19.390220987515,652.9840002891749,29.48069031161625,707.5443095288999,30.79282995109125,739.0360054629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,NC,12.29025977277,100.6697543455,4193.606579383,1.66352028793,25.3970398604,932.718424323,1.66352028793,25.3970398604,932.718424323,4.265401657675999,57.24565806547999,2117.6298060999998,0.0,38.68502203574,747.9898929348,0.0,18.75108975306,631.4606524917,29.05231531167,697.2631970327999,29.777851347615,714.6762524316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,GA,12.167220464700002,99.66193700500001,4151.62386613,1.66352028793,25.3970398604,932.718424323,1.66352028793,25.3970398604,932.718424323,4.2769241081265,57.400300069095,2123.3503188375003,0.0,38.304749502445,740.6371761339001,0.0,18.7122072445,630.1512473025,28.7667319783725,690.4091220354,29.716103599875,713.19429027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
