# Units: NA, NA, lat, lon, year, NA, NA, MW, kWh, mmbtu, metric tonne CO2
name,state,lat,lon,commissioning_year,prime_mover,primary_fuel,capacity,generation,fuel_consumption,emissions
Cross,SC,33.371506,-80.113235,1984,ST,Coal,2389,9019529000.0,90804532.314,9316540.773
Seminole (FL),FL,29.733056,-81.632778,1984,ST,Coal,2320,8259576000.0,77097230.767,7910171.844
Agua Fria,AZ,33.5561,-112.2153,1957,ST,Gas,611,235804000.0,2447270.132,145938.686
Kyrene,AZ,33.3556,-111.9353,1952,GT,Gas,572,1035149000.0,7479806.827,444512.611
Apache Station,AZ,32.0603,-109.8931,1963,ST,Coal,658,1918601000.0,19858448.124,1958791.107
GREC,OK,36.190278,-95.2894,1981,ST,Coal,1734,1479368000.0,14333757.099,1181168.966
Lake Catherine,AR,34.4341,-92.9049,1950,ST,Gas,751,109534000.0,1282202.208,76197.447
Thomas Fitzhugh,AR,35.462382,-93.804926,1963,CT,Gas,185,148930000.0,1373006.875,81596.954
Carl Bailey,AR,35.260102,-91.363426,1966,ST,Gas,120,0.0,265547.9,15822.68
McClellan (AR),AR,33.5648,-92.7917,1972,ST,Gas,136,0.0,881459.3770000001,52346.119
St Johns River Power Park,FL,30.4308,-81.5508,1987,ST,Coal,1358,5570098000.0,57079681.24,5848162.325999999
Dynegy Moss Landing Power Plant,CA,36.804837,-121.782241,1967,ST,Gas,2802,2445685000.0,17317445.469,978799.596
Limestone,TX,31.4219,-96.2525,1985,ST,Coal,1849,9872828000.0,97317303.02,10590592.553
Encina,CA,33.1361,-117.3364,1954,ST,Gas,999,546548000.0,6266557.916,372408.802
AES Alamitos LLC,CA,33.7688,-118.1009,1956,ST,Gas,2055,895450000.0,10968269.7,651829.6000000001
El Segundo Power,CA,33.909804,-118.424172,1955,ST,Gas,996,1378017000.0,10999621.138,653691.399
Etiwanda Generating Station,CA,34.09118,-117.52663,1953,ST,Gas,1050,144605000.0,1810067.059,107571.214
AES Huntington Beach LLC,CA,33.6439,-117.9792,1958,ST,Gas,1021,394354000.0,4753741.6,282505.4
Long Beach Generation LLC,CA,33.7641,-118.2248,1976,GT,Gas,587,35729000.0,539573.399,32065.003
Mandalay,CA,34.2067,-119.2511,1959,ST,Gas,574,147324000.0,1484949.617,88248.863
Ormond Beach,CA,34.1292,-119.1689,1971,ST,Gas,1612,249945000.0,2796994.5620000004,166223.492
AES Redondo Beach LLC,CA,33.8504,-118.395,1954,ST,Gas,1316,525647000.0,6530887.7,388124.5
Mountainview Generating Station,CA,34.0818,-117.2418,1957,CT,Gas,1164,4246458000.0,30185985.293,1793910.005
Grayson,CA,34.1556,-118.2782,1953,GT,Gas,353,147982000.0,1815428.467,140229.064
Joliet 29,IL,41.494636,-88.123827,1965,ST,Coal,1320,334982000.0,3378645.3,200286.404
El Centro,CA,32.802222,-115.54,1952,CT,Gas,435,1075494000.0,8823116.177000001,524344.529
Harbor,CA,33.7706,-118.2656,1972,GT,Gas,591,101879000.0,969913.066,57105.634
Haynes,CA,33.764741,-118.09913,1962,ST,Gas,2882,2934683000.0,21603481.904,1263206.353
Scattergood,CA,33.918151,-118.427648,1958,ST,Gas,1368,1436595000.0,15049402.768,885011.235
Valley (CA),CA,34.244991,-118.391327,1954,ST,Gas,1232,1558267000.0,11078911.649,648338.948
Glenarm,CA,34.126,-118.1494,1976,GT,Gas,263,88270000.0,838614.6730000001,49840.017
Cherokee,CO,39.807275,-104.964548,1957,ST,Coal,1425,4519965000.0,36776070.267,2796559.426
Comanche (CO),CO,38.2081,-104.5747,1973,ST,Coal,1634,10059600000.0,94574644.827,9861282.648
Valmont,CO,40.0195,-105.202,1964,ST,Coal,250,234452000.0,2098085.364,215264.697
Zuni,CO,39.737348,-105.016991,1948,ST,Gas,115,0.0,265996.183,15816.24
Martin Drake,CO,38.824444,-104.833333,1962,ST,Coal,257,1269373000.0,13831253.81,1447743.584
Lamar Plant,CO,38.033327,-102.537915,1939,ST,Coal,62,0.0,0.0,0.0
Hayden,CO,40.4856,-107.185,1965,ST,Coal,465,2888130000.0,30106713.404,3088947.209
