# Units: NA, NA, lat, lon, year, NA, NA, MW, kWh, mmbtu, metric tonne CO2
name,state,lat,lon,commissioning_year,prime_mover,primary_fuel,capacity,generation,fuel_consumption,emissions
Higginsville,MO,39.073315,-93.714748,1945,GT,Gas,49,835000.0,13525.5,0.0
Blue Valley,MO,39.0919,-94.3261,1958,ST,Gas,176,4738000.0,53637.365,3188.2430000000004
James River Power Station,MO,37.108611,-93.261944,1957,GT,Gas,450,88630000.0,1181418.12,70830.236
New Madrid,MO,36.5147,-89.5617,1972,ST,Coal,1300,7945476000.0,67599053.003,7089746.222
Thomas Hill,MO,39.5522,-92.6381,1966,ST,Coal,1181,8728954000.0,83608635.805,8768679.412
Glendive GT,MT,47.0539,-104.74,1979,GT,Gas,83,2299000.0,23654.676,1474.392
Canaday,NE,40.6942,-99.7011,1958,ST,Gas,108,1999000.0,31530.45,1869.2
Lon Wright,NE,41.4281,-96.4623,1957,ST,Coal,169,393494000.0,4149228.836,428714.098
C W Burdick,NE,40.9228,-98.3269,1957,GT,Gas,238,5228000.0,70137.343,4174.263
J Street,NE,40.80788,-96.710667,1972,GT,Gas,27,209000.0,3512.5,0.0
Hallam,NE,40.558652,-96.786177,1973,GT,Gas,56,2517000.0,36176.6,0.0
Hebron,NE,40.187928,-97.577857,1973,GT,Oil,56,208000.0,2998.9,0.0
McCook,NE,40.2214,-100.6508,1973,GT,Oil,56,309000.0,4132.8,0.0
Sheldon,NE,40.5589,-96.7847,1961,ST,Coal,227,786911000.0,8223343.517999999,862465.6869999999
Jones Street,NE,41.251488,-95.922682,1973,GT,Oil,130,839000.0,25464.7,0.0
North Omaha,NE,41.32909,-95.94466,1954,ST,Coal,642,2090468000.0,21427237.252,2221834.468
Sarpy County,NE,41.170594,-95.970603,1972,GT,Gas,334,81825000.0,1429871.527,43502.182
Clark (NVE),NV,36.0875,-115.0507,1955,GT,Gas,1556,425587000.0,3928231.849,233448.844
Reid Gardner,NV,36.657347,-114.633263,1965,ST,Coal,636,292824000.0,3646924.079,382487.192
Fort Churchill,NV,39.1281,-119.1322,1968,ST,Gas,230,403183000.0,4535980.67,269574.587
Tracy,NV,39.5625,-119.525,1961,CT,Gas,1179,4007055000.0,30768056.032,1828504.554
Lost Nation,NH,44.595117,-71.494398,1969,GT,Oil,18,361000.0,15340.0,0.0
Merrimack,NH,43.1411,-71.4692,1960,ST,Coal,494,268972000.0,2747922.556,281201.62
Schiller,NH,43.0978,-70.7842,1952,ST,Coal,171,395521000.0,5758006.657,595146.602
White Lake,NH,43.8478,-71.2069,1968,GT,Oil,18,102000.0,2890.8,0.0
B L England,NJ,39.2908,-74.6364,1961,ST,Coal,483,24154000.0,243688.373,24977.439
Carlls Corner,NJ,39.4547,-75.2014,1973,GT,Gas,82,9328000.0,233929.7,14247.7
Sayreville,NJ,40.476525,-74.352336,1955,GT,Gas,462,1278000.0,25271.1,1683.1
Gilbert,NJ,40.565833,-75.163889,1970,GT,Gas,608,16574000.0,208058.991,12684.354
Bergen Generating Station,NJ,40.8375,-74.0244,1959,CT,Gas,1415,2281480000.0,26338077.219,1568191.147
PSEG Burlington Generating Station,NJ,40.076611,-74.879172,1967,GT,Oil,806,18467000.0,163306.51,10004.913
PSEG Essex Generating Station,NJ,40.7372,-74.1206,1971,GT,Gas,585,7139000.0,64509.137,3883.46
PSEG Hudson Generating Station,NJ,40.7478,-74.0722,1964,ST,Gas,1228,19990000.0,246043.008,13818.902
PSEG Kearny Generating Station,NJ,40.737283,-74.096464,1953,GT,Gas,1420,287295000.0,2547909.119,151873.587
PSEG Linden Generating Station,NJ,40.6217,-74.2072,1957,CT,Gas,2118,5072893000.0,35980965.275,2139258.706
PSEG Mercer Generating Station,NJ,40.1792,-74.7339,1960,ST,Coal,767,0.0,0.0,0.0
PSEG Salem Generating Station,NJ,39.4625,-75.5358,1971,ST,Nuclear,2381,62000.0,1987.0,161.0
PSEG Sewaren Generating Station,NJ,40.5558,-74.2469,1948,ST,Gas,565,36622000.0,462729.62,26908.43
Howard Down,NJ,39.4889,-75.0347,1942,ST,Oil,137,123566000.0,1089978.7,64791.432
Four Corners,NM,36.69,-108.4814,1963,ST,Coal,2269,7058576000.0,64672513.482,6634608.166
Rio Grande,NM,31.8047,-106.5472,1957,ST,Gas,372,886243000.0,9679234.851,575230.142
Maddox,NM,32.714224,-103.301469,1963,ST,Gas,210,390007000.0,4069682.515,241864.464
Reeves,NM,35.171,-106.6019,1960,ST,Gas,154,98646000.0,1145639.721,68085.88
San Juan,NM,36.8006,-108.4386,1973,ST,Coal,1848,11984305000.0,128376773.562,13460701.438
Cunningham,NM,32.7131,-103.3533,1957,ST,Gas,517,925343000.0,9963635.888,592128.34
Danskammer Generating Station,NY,41.571247,-73.974981,1951,ST,Gas,535,9892000.0,100436.501,5954.451
Arthur Kill Generating Station,NY,40.591564,-74.200035,1959,ST,Gas,895,897371000.0,9398485.756,558311.388
East River,NY,40.7281,-73.9742,1951,GT,Gas,716,2581457000.0,37044477.925,2210773.475
Gowanus Gas Turbines Generating,NY,40.6635,-74.0051,1971,GT,Oil,640,6276000.0,61999.3,0.0
Hudson Avenue,NY,40.7052,-73.9807,1951,ST,Oil,108,2296000.0,38540.0,0.0
Narrows Gas Turbines Generating,NY,40.648611,-74.020833,1972,GT,Gas,352,30855000.0,397576.3000000001,0.0
Ravenswood,NY,40.759167,-73.946111,1963,ST,Gas,2617,3179286000.0,28713346.387,1711136.241
59th Street,NY,40.771285,-73.99115,1969,GT,Gas,17,98000.0,4060584.675,0.0
74th Street,NY,40.768,-73.9515,1968,GT,Oil,36,168000.0,2881915.95,174184.8
E F Barrett,NY,40.616689,-73.647881,1956,ST,Gas,684,1441987000.0,15494702.175,925380.8
East Hampton,NY,40.961706,-72.210277,1962,GT,Oil,27,6339000.0,90183.482,7315.702999999999
Glenwood,NY,40.827149,-73.647473,1952,ST,Gas,338,1287000.0,17809.2,1442.8
Northport,NY,40.923565,-73.342323,1967,ST,Gas,1564,1766266000.0,17941846.925,1090236.3
Port Jefferson,NY,40.949696,-73.078507,1948,ST,Gas,590,272482000.0,2863071.025,179262.025
West Babylon,NY,40.695485,-73.348573,1971,GT,Oil,52,1038000.0,15181.7,1229.8000000000002
Greenidge Generation LLC,NY,42.6789,-76.9483,1950,ST,Gas,162,179920000.0,2091728.2,124008.779
Cayuga Operating Company,NY,42.6028,-76.6336,1955,ST,Coal,322,259268000.0,2644312.593,271309.862
Bethlehem Energy Center,NY,42.594196,-73.763752,1952,CT,Gas,1292,3566279000.0,36677963.211,2179725.393
Dunkirk Generating Plant,NY,42.491467,-79.346631,1950,ST,Coal,626,0.0,0.0,0.0
Oswego Harbor Power,NY,43.4586,-76.5319,1948,ST,Oil,1894,41868000.0,479176.405,38236.337
Bowline Point,NY,41.2044,-73.9689,1972,ST,Gas,1992,1265744000.0,13016531.421,775504.2590000001
Hillburn,NY,41.1269,-74.1653,1972,GT,Gas,46,524000.0,7537.361,448.499
Shoemaker,NY,41.4278,-74.4186,1972,GT,Gas,41,507000.0,7392.116,439.21
Plant No 2 Freeport,NY,40.6447,-73.5683,1969,GT,Gas,96,40603000.0,396703.875,23661.9
S A Carlson,NY,42.0933,-79.2478,1951,ST,Gas,95,122798000.0,1425523.45,84759.55
Asheville,NC,35.4731,-82.5417,1964,GT,Gas,835,1489423000.0,14688247.674,1462191.32
Blewett,NC,34.9833,-79.8775,1912,GT,Oil,92,0.0,5712.3,462.5
HF Lee Plant,NC,35.379866,-78.087795,1951,ST,Coal,505,7564790000.0,52846557.463,3144018.2350000003
Roxboro,NC,36.4833,-79.0731,1966,ST,Coal,2573,2780546000.0,62476976.278,6404359.436
L V Sutton Steam,NC,34.283056,-77.985278,1954,ST,Coal,760,4769074000.0,33328213.243,1980850.872
W H Weatherspoon,NC,34.587538,-78.97552,1949,ST,Coal,325,0.0,17391.6,1408.1
G G Allen,NC,35.1897,-81.0122,1957,ST,Coal,1148,1169019000.0,11035177.854,1132204.621
Buck,NC,35.7133,-80.3767,1941,CT,Gas,1169,5287411000.0,35515222.865,2110620.108
James E. Rogers Energy Complex,NC,35.22,-81.7594,1940,ST,Coal,2540,6365397000.0,53307911.425,5469391.057
Dan River,NC,36.4862,-79.7208,1949,CT,Gas,1084,5054757000.0,34765270.658,2066045.143
Marshall (NC),NC,35.5975,-80.9658,1965,ST,Coal,2118,9819821000.0,91313824.785,9368795.011
R M Heskett,ND,46.8669,-100.8836,1954,ST,Coal,203,459878000.0,5311181.821,574496.313
Leland Olds,ND,47.280769,-101.321213,1966,ST,Coal,656,4160733000.0,42429879.498,4619341.7190000005
Milton R Young,ND,47.065854,-101.213093,1970,ST,Coal,734,5870756000.0,60083882.16,6541331.158
Stanton,ND,47.286643,-101.331908,1967,ST,Coal,191,0.0,1932047.512,202630.131
Cardinal,OH,40.2522,-80.6486,1967,ST,Coal,1880,11296600000.0,106881520.414,10954557.846
Dicks Creek,OH,39.465,-84.3778,1965,GT,Gas,158,1106000.0,49341.6,0.0
Miami Fort,OH,39.1128,-84.8036,1949,ST,Coal,1441,7420478000.0,65097647.005,6679013.59
Avon Lake,OH,41.504453,-82.054619,1949,ST,Coal,873,596194000.0,5397389.173,553342.415
FirstEnergy Eastlake,OH,41.6711,-81.4425,1953,ST,Coal,1289,53000.0,2400.0,0.0
Conesville,OH,40.1842,-81.8811,1957,ST,Coal,2172,4256736000.0,41922461.98,4301243.857
Frank M Tait,OH,39.727249,-84.211084,1967,GT,Gas,301,79078000.0,954143.1,57538.1
O H Hutchings,OH,39.6088,-84.2921,1948,ST,Coal,446,91000.0,3727.6,0.0
J M Stuart,OH,38.6361,-83.6939,1969,ST,Coal,2448,7669807000.0,72774530.04,7466658.947
Niles Power Plant,OH,41.166928,-80.74769,1954,ST,Coal,291,36000.0,1666.9,0.0
FirstEnergy W H Sammis,OH,40.5317,-80.6319,1959,ST,Coal,2464,6961602000.0,67616043.189,7091560.615
FirstEnergy West Lorain,OH,41.429444,-82.264444,1973,GT,Gas,555,4643000.0,67131.594,4169.691
Kyger Creek,OH,38.9144,-82.1289,1955,ST,Coal,1085,6605286000.0,63045230.504,6468438.215
FirstEnergy Bay Shore,OH,41.6917,-83.4378,1955,ST,Coal,663,0.0,14256765.723,1503378.737
Richland,OH,41.305203,-84.334622,1965,GT,Gas,450,98287000.0,1228778.419,73023.531
Hamilton (OH),OH,39.4098,-84.5543,1954,ST,Gas,137,0.0,0.0,0.0
Horseshoe Lake,OK,35.50866,-97.17969,1958,ST,Gas,973,385123000.0,4262191.768,253295.916
Muskogee,OK,35.76135,-95.28732,1956,ST,Coal,1889,7030494000.0,73969989.745,7745086.599
Mustang,OK,35.46988,-97.67498,1950,GT,Gas,1077,181476000.0,1814492.446,106437.406
Seminole (OK),OK,34.96645,-96.7258,1971,ST,Gas,1724,1031020000.0,11486671.656,682633.2390000001
Northeastern,OK,36.4317,-95.7008,1961,ST,Coal,1949,3654407000.0,37808056.656,3324082.581
Southwestern,OK,35.1009,-98.3524,1952,ST,Gas,657,324647000.0,3767743.107,223770.512
Tulsa,OK,36.116492,-95.990974,1948,ST,Gas,443,292986000.0,3608112.835,214422.62
Weleetka,OK,35.3233,-96.1352,1963,GT,Gas,163,0.0,265131.0,0.0
Anadarko Plant,OK,35.0847,-98.23,1953,CS,Gas,534,1214003000.0,10751698.907,204481.304
Mooreland,OK,36.43725,-99.22543,1964,ST,Gas,305,459592000.0,4605317.311,273711.79000000004
Brunot Island,PA,40.464851,-80.043761,1972,CT,Gas,414,56868000.0,704064.817,41840.061
Mountain,PA,40.122941,-77.172292,1972,GT,Oil,54,7777000.0,129098.6,0.0
Portland (PA),PA,40.910205,-75.079398,1958,ST,Coal,621,317000.0,3084.6689999999994,250.244
Tolna,PA,39.760634,-76.635341,1972,GT,Oil,54,553000.0,9556.4,0.0
Conemaugh,PA,40.3842,-79.0611,1970,ST,Coal,1884,12088941000.0,114121272.618,11699375.868
Homer City Generating Station,PA,40.512825,-79.196107,1969,ST,Coal,2012,5746644000.0,55121340.327,5655449.768
Seward (PA),PA,40.40625,-79.03366,1950,ST,Coal,803,0.0,27249584.355,2791996.363
Shawville,PA,41.06755,-78.366228,1954,ST,Gas,632,1401354000.0,14921261.255,886233.505
Warren,PA,41.835947,-79.188668,1948,ST,Coal,137,5135000.0,68069.375,0.0
Keystone,PA,40.6604,-79.3411,1967,ST,Coal,1884,12672949000.0,118766847.97,12185477.383
New Castle Plant,PA,40.937939,-80.369007,1939,ST,Gas,424,654806000.0,6802096.638,404239.128
Brunner Island,PA,40.096111,-76.6962,1961,ST,Gas,1621,3999197000.0,39173868.159,2695018.642
TalenEnergy Martins Creek,PA,40.797762,-75.105416,1954,ST,Gas,2104,1260175000.0,13347001.382,806074.216
TalenEnergy Montour,PA,41.0714,-76.6672,1971,ST,Coal,1774,3027741000.0,27891422.117,2861658.739
Eddystone Generating Station,PA,39.858,-75.323,1960,ST,Gas,1566,52164000.0,678545.403,42056.607
Richmond Generating Station,PA,39.984469,-75.075247,1973,GT,Oil,130,3829000.0,40431.2,0.0
Hunlock Power Station,PA,41.200556,-76.07,1959,CT,Gas,145,596665000.0,4605653.069,273702.544
Manchester Street,RI,41.8167,-71.4042,1995,CT,Gas,515,1282723000.0,15017963.525,896519.325
Darlington County,SC,34.4185,-80.1657,1974,GT,Gas,1037,86577000.0,1154353.738,74000.82400000001
W S Lee,SC,34.6022,-82.435,1951,GT,Gas,556,142153000.0,1476418.999,88993.088
Hagood,SC,32.8265,-79.9634,1991,GT,Gas,176,21681000.0,244406.811,16318.484
McMeekin,SC,34.0556,-81.2172,1958,ST,Gas,292,380787000.0,3421461.143,202912.147
Urquhart,SC,33.435,-81.9111,1953,CT,Gas,755,1642933000.0,18177613.111,1081357.843
Wateree,SC,33.8264,-80.6228,1970,ST,Coal,770,3888413000.0,33475220.47,3434554.196
Williams,SC,33.0158,-79.9297,1972,ST,Coal,711,2842706000.0,24988403.629,2558176.539
Hilton Head,SC,32.208871,-80.698754,1973,GT,Oil,116,495000.0,9098.9,0.0
Myrtle Beach,SC,33.708283,-78.924146,1962,GT,Oil,109,1069000.0,21767.800000000003,0.0
Aberdeen CT,SD,45.429884,-98.49396,1978,GT,Gas,110,11451000.0,134437.8,8184.0
Huron,SD,44.369507,-98.17223,1961,GT,Gas,57,3589000.0,92752.4,5472.3
Allen,TN,35.074087,-90.14868,1959,ST,Coal,1594,3859776000.0,37902799.772,3975168.293
Bull Run,TN,36.0211,-84.1567,1967,ST,Coal,950,3116859000.0,29180366.846,2993903.726
Cumberland (TN),TN,36.3903,-87.6539,1973,ST,Coal,2600,10803423000.0,102489396.188,10505930.073
Gallatin (TN),TN,36.3156,-86.4006,1956,ST,Coal,1914,5842476000.0,59905387.593,6176369.447
John Sevier,TN,36.3767,-82.9639,1955,ST,Coal,1796,5354656000.0,37197067.663,2210601.176
Johnsonville,TN,36.0278,-87.9861,1951,ST,Coal,2906,2157476000.0,25572570.628,2558063.014
Kingston,TN,35.8992,-84.5194,1954,ST,Coal,1700,5188637000.0,55080749.191,5714073.584
Laredo,TX,27.5667,-99.5089,1951,GT,Gas,448,115121000.0,1092234.019,64907.397
Nueces Bay,TX,27.819412,-97.419203,1949,CT,Gas,941,1189223000.0,8630070.297,512875.834
Victoria,TX,28.7883,-97.01,1955,ST,Gas,712,565243000.0,4359305.928,259065.865
Lake Hubbard,TX,32.8358,-96.5458,1970,ST,Gas,927,184806000.0,1991468.876,118348.517
Mountain Creek,TX,32.7231,-96.9358,1945,ST,Gas,956,191833000.0,2240072.8090000004,133125.288
Newman,TX,31.983587,-106.431777,1960,CT,Gas,910,2092357000.0,21380423.915,1270609.932
Lewis Creek,TX,30.4356,-95.5214,1970,ST,Gas,542,1793836000.0,17174465.224,1020654.183
Sabine,TX,30.0242,-93.878,1962,ST,Gas,2049,3706263000.0,37906131.493,2252703.464
Cedar Bayou,TX,29.75,-94.9256,1970,ST,Gas,2295,1787426000.0,17827807.2,1059481.257
Greens Bayou,TX,29.822201,-95.219429,1973,ST,Gas,878,13452000.0,200188.4,0.0
Sam Bertron,TX,29.726775,-95.059827,1956,ST,Gas,872,0.0,0.0,0.0
T H Wharton,TX,29.9417,-95.5306,1960,GT,Gas,1435,332787000.0,4670891.217,186234.1
W A Parish,TX,29.4828,-95.6311,1958,ST,Coal,4005,17359922000.0,171721776.425,16363040.226
Knox Lee,TX,32.3766,-94.6415,1950,ST,Gas,501,56058000.0,646445.801,38419.261
Lone Star,TX,32.9215,-94.7226,1954,ST,Gas,40,1220000.0,15840.878,942.018
Wilkes,TX,32.848163,-94.547986,1964,ST,Gas,882,466119000.0,4991761.537,296653.956
Jones,TX,33.5239,-101.7392,1971,ST,Gas,858,1014569000.0,10765511.212,639876.4280000001
Nichols,TX,35.283357,-101.746423,1960,ST,Gas,473,449239000.0,5024218.092,298592.755
Plant X,TX,34.1661,-102.4114,1952,ST,Gas,434,491905000.0,5327784.124,316648.893
Graham,TX,33.1344,-98.6117,1960,ST,Gas,634,75422000.0,817334.1849999999,48572.537
Handley,TX,32.7283,-97.2192,1948,ST,Gas,1431,378738000.0,4296122.573,255312.793
Morgan Creek,TX,32.3358,-100.9156,1950,ST,Gas,2160,6272000.0,74875.6,0.0
Permian Basin,TX,31.5839,-102.9633,1958,ST,Gas,1094,38390000.0,466066.413,27553.777
Big Brown,TX,31.8206,-96.0544,1971,ST,Coal,1986,8371776000.0,83594372.793,9100920.667
Stryker Creek,TX,31.93985,-94.989834,1958,ST,Gas,712,81049000.0,955071.582,56758.47
Trinidad (TX),TX,32.124519,-96.101277,1965,ST,Gas,243,8524000.0,128147.712,7616.156
Decker Creek,TX,30.3033,-97.6128,1971,ST,Gas,930,424606000.0,4632213.452,250098.291
Silas Ray,TX,25.9131,-97.5214,1952,GT,Gas,168,54696000.0,635179.098,37748.133
Ray Olinger,TX,33.068055,-96.452481,1967,ST,Gas,426,13570000.0,162259.95,9644.175
Sim Gideon,TX,30.1456,-97.2708,1965,ST,Gas,623,334898000.0,3645810.608,216663.404
J Robert Massengale,TX,33.6039,-101.8408,1952,CA,Gas,106,93279000.0,841293.616,49996.362
Leon Creek,TX,29.3525,-98.5761,1953,GT,Gas,416,112362000.0,1101996.137,65487.558
O W Sommers,TX,29.308056,-98.3242,1972,ST,Gas,892,461908000.0,5472571.8270000005,325284.851
V H Braunig,TX,29.2567,-98.3825,1966,ST,Gas,1138,2898709000.0,22561296.601,1340836.508
R W Miller,TX,32.6581,-98.3103,1968,ST,Gas,602,159358000.0,1733864.14,103136.568
Sam Rayburn,TX,28.8947,-97.135,1963,CT,Gas,238,125958000.0,1335236.284,81755.925
Gadsby,UT,40.7686,-111.9289,1951,ST,Gas,491,124442000.0,1454457.243,86436.475
Berlin 5,VT,44.251,-72.6027,1972,GT,Oil,41,0.0,44414.4,3596.9
Burlington GT,VT,44.4814,-73.2239,1971,GT,Oil,25,0.0,9284.3,752.3000000000001
Clinch River,VA,36.9333,-82.1997,1958,ST,Gas,711,246207000.0,2817545.463,167444.976
Tasley,VA,37.7061,-75.7031,1972,GT,Oil,27,72000.0,24679.2,0.0
Bremo Bluff,VA,37.7089,-78.2878,1950,ST,Gas,254,132202000.0,1338301.1779999998,79534.057
Chesterfield,VA,37.3822,-77.3833,1952,ST,Coal,1797,6695998000.0,58240793.101,4317098.402
Possum Point,VA,38.5367,-77.2806,1948,ST,Oil,2081,3169668000.0,22800722.202,1370663.222
Yorktown,VA,37.2144,-76.4611,1957,ST,Oil,1256,170646000.0,1757087.065,159258.536
Transalta Centralia Generation,WA,46.755938,-122.859764,1972,ST,Coal,1778,5840141000.0,62586797.245000005,6564103.847
John E Amos,WV,38.4731,-81.8233,1971,ST,Coal,2932,15052116000.0,143442434.433,14715863.812
Kanawha River,WV,38.2056,-81.4211,1953,ST,Coal,438,0.0,0.0,0.0
FirstEnergy Fort Martin Power Station,WV,39.710833,-79.9275,1967,ST,Coal,1152,6808712000.0,59275090.85,6216766.919
FirstEnergy Harrison Power Station,WV,39.384167,-80.3325,1972,ST,Coal,2052,14063166000.0,131696916.828,13512102.523
Mitchell (WV),WV,39.8297,-80.8153,1971,ST,Coal,1632,8330252000.0,80285907.523,8237215.243
Mt Storm,WV,39.2008,-79.2636,1965,ST,Coal,1680,7507603000.0,73145926.072,7504768.796
Bay Front,WI,46.587222,-90.9017,1949,ST,Biomass,67,186383000.0,3183971.941,331853.114
Fitchburg,WI,43.0147,-89.4603,1973,GT,Gas,56,0.0,0.0,0.0
Blount Street,WI,43.0789,-89.3744,1925,ST,Gas,187,22585000.0,325616.979,19356.243
French Island,WI,43.8292,-91.2597,1940,GT,Oil,186,1649000.0,25104.614,0.0
Wheaton,WI,44.885416,-91.515833,1973,GT,Gas,298,79431000.0,1091096.779,0.0
Port Washington Generating Station,WI,43.3842,-87.8689,1935,CT,Gas,1543,5389044000.0,37448717.663,2225524.712
South Oak Creek,WI,42.8457,-87.8294,1959,ST,Coal,1258,5174928000.0,54169243.934,5679510.193
Valley (WI),WI,43.0303,-87.9233,1968,ST,Gas,274,0.0,7774862.98,460889.637
Edgewater,WI,43.715142,-87.705863,1951,ST,Coal,833,4061465000.0,41994248.83,4404356.082
Rock River,WI,42.583094,-89.025915,1954,GT,Gas,317,17383000.0,382955.6,0.0
Sheepskin,WI,42.8347,-89.110833,1971,GT,Gas,41,2920000.0,99056.7,0.0
Pulliam,WI,44.54,-88.0086,1943,ST,Coal,670,675730000.0,7087427.361,667242.481
West Marinette,WI,45.0869,-87.6881,1971,GT,Gas,185,185683000.0,2322651.03,138029.359
Weston,WI,44.8606,-89.6553,1954,ST,Coal,1161,4770520000.0,40760427.707,4250356.358
Manitowoc,WI,44.082,-87.6558,1935,ST,Oil,212,0.0,2572809.9590000003,269501.183
Genoa,WI,43.5589,-91.2325,1969,ST,Coal,345,1594521000.0,15870688.344,1664514.415
Dave Johnston,WY,42.8378,-105.7769,1959,ST,Coal,921,4961114000.0,52629442.632,5519776.555
Naughton,WY,41.7581,-110.5983,1963,ST,Coal,832,5139907000.0,52913060.133,5545754.597
Powerlane Plant,TX,33.1707,-96.1264,1966,ST,Gas,110,6994000.0,86369.0,5136.1
Endicott Station,MI,42.0317,-84.755,1982,ST,Coal,57,0.0,0.0,0.0
Spencer,TX,33.1975,-97.1061,1955,ST,Gas,172,5498000.0,80500.90000000001,4783.875
John P Madgett,WI,44.303583,-91.912647,1979,ST,Coal,387,1673630000.0,19041451.288,1997069.781
Thomas C Ferguson,TX,30.558,-98.3705,1974,ST,Gas,1020,2346105000.0,24738904.67,1470196.171
Barney M Davis,TX,27.6064,-97.3117,1974,CT,Gas,1081,1251831000.0,9318783.654,553805.622
Riverside (OK),OK,35.9978,-95.9567,1974,ST,Gas,1120,314395000.0,3762354.09,223428.472
Navajo,AZ,36.9047,-111.3886,1974,ST,Coal,2409,15120965000.0,154904137.47100002,15893150.449
Cumberland (NJ),NJ,39.3757,-74.9654,1990,GT,Gas,230,191124000.0,1580618.669,94160.641
James H Miller Jr,AL,33.6319,-87.0597,1978,ST,Coal,2820,20329484000.0,216879467.325,22746314.975
FirstEnergy Pleasants Power Station,WV,39.366667,-81.294444,1979,ST,Coal,1368,8565478000.0,76074005.608,7978641.344
White Bluff,AR,34.4228,-92.1406,1980,ST,Coal,1800,8373972000.0,87198159.239,9143966.942
Olive,CA,34.1764,-118.3147,1959,ST,Gas,170,0.0,0.0,0.0
Duck Creek,IL,40.4663,-89.9841,1976,ST,Coal,441,2167195000.0,19985699.054,2096099.57
Newton,IL,38.9361,-88.2781,1977,ST,Coal,1234,3546922000.0,33298297.767,3492322.882
East Bend,KY,38.9036,-84.8514,1981,ST,Coal,772,4640114000.0,47715140.887,4895571.551
W H Zimmer,OH,38.8675,-84.2289,1991,ST,Coal,1425,8904250000.0,77106792.115,7899605.238
Craig (CO),CO,40.4627,-107.5912,1979,ST,Coal,1426,8625300000.0,84330284.308,8844565.435
Coal Creek,ND,47.377743,-101.157058,1979,ST,Coal,1216,8567078000.0,82153669.531,8944066.465
Killen Station,OH,38.6903,-83.4803,1982,ST,Coal,688,4518791000.0,44777405.496,4592729.248
Belle River,MI,42.7756,-82.495,1981,ST,Coal,1659,7667730000.0,76107381.483,7856510.791
Greenwood (MI),MI,43.1056,-82.6964,1979,ST,Gas,1070,575772000.0,6107380.635,362330.972
H L Spurlock,KY,38.7,-83.8181,1977,ST,Coal,1607,7378919000.0,68071678.121,6984148.978
Manatee,FL,27.6058,-82.3456,1976,ST,Oil,2949,7962099000.0,61306988.081,3799377.815
Martin,FL,27.0536,-80.5628,1980,ST,Oil,6069,11284702000.0,85521640.896,5229204.609
DeBary,FL,28.903863,-81.332329,1975,GT,Oil,808,138944000.0,1756335.418,105499.506
Wansley,GA,33.41342,-85.032329,1976,ST,Coal,1956,4154788000.0,40801328.487,4186038.199
Big Cajun 2,LA,30.7261,-91.3692,1981,ST,Coal,2632,6144767000.0,65635303.816,6581915.968
Cascade Creek,MN,44.0322,-92.4908,1975,GT,Gas,84,23064000.0,292353.65,14433.133
R D Morrow,MS,31.2186,-89.394,1978,ST,Coal,400,105331000.0,1167994.165,119835.449
Electrifarm,IA,42.4407,-92.4205,1975,GT,Gas,263,10047000.0,172620.0,0.0
Nearman Creek,KS,39.1681,-94.6975,1981,ST,Coal,671,1080561000.0,11423150.573,1186984.853
Iatan,MO,39.4472,-94.98,1980,ST,Coal,1640,11598864000.0,104028848.109,10910547.425
Jeffrey Energy Center,KS,39.286453,-96.117231,1978,ST,Coal,2160,11990502000.0,120187004.338,12603014.557
Trimble County,KY,38.5847,-85.4117,1990,ST,Coal,2594,9076002000.0,82911234.521,8226515.152
Victor J Daniel Jr,MS,30.5322,-88.5553,1977,ST,Coal,2226,7768788000.0,80479799.075,6033348.825999999
Greenwood (MO),MO,38.8615,-94.2982,1975,GT,Gas,247,7462000.0,246249.838,0.0
Colstrip,MT,45.8831,-106.614,1975,ST,Coal,2272,14713905000.0,145331565.685,15240558.784
Gerald Gentleman,NE,41.0808,-101.1408,1979,ST,Coal,1362,8181990000.0,78311498.05,8213300.8
Stony Brook,MA,42.1978,-72.5106,1981,CT,Oil,956,77636000.0,939884.925,61386.125
Somerset Operating Co LLC,NY,43.358889,-78.604722,1984,ST,Coal,655,373156000.0,3592028.904,368542.19
R M Schahfer,IN,41.2164,-87.0261,1976,ST,Coal,2200,5690713000.0,62506658.841,6431705.144
Lewis & Clark,MT,47.6785,-104.15665,1958,ST,Coal,68,249753000.0,3117133.784,338821.353
Sherburne County,MN,45.3808,-93.8931,1976,ST,Coal,2468,12910108000.0,131720280.627,13814823.97
FirstEnergy Bruce Mansfield,PA,40.6348,-80.4159,1976,ST,Coal,2739,8617433000.0,79017486.053,8287346.484999999
Sooner,OK,36.45307,-97.05279,1979,ST,Coal,2088,3773262000.0,38618418.453,4046895.402
Nebraska City,NE,40.6214,-95.7764,1979,ST,Coal,1389,9367092000.0,89169617.736,9343763.6
Big Stone,SD,45.303652,-96.510067,1975,ST,Coal,451,2182318000.0,23713276.71,2487044.484
Wyodak,WY,44.290128,-105.381482,1978,ST,Coal,402,2901613000.0,32228737.298,3380148.946
Boardman,OR,45.693182,-119.808819,1980,ST,Coal,642,1845650000.0,17866870.455,1873878.021
Fort St Vrain,CO,40.2461,-104.8742,1996,CT,Gas,1147,2823484000.0,22502155.58,1337271.454
Gibson,IN,38.372222,-87.765833,1975,ST,Coal,3335,19491813000.0,175465621.077,18002776.21
McIntosh,GA,32.356287,-81.168347,1979,GT,Gas,985,84262000.0,1017568.4,77713.2
Gibbons Creek,TX,30.619937,-96.081846,1983,ST,Coal,453,1699630000.0,18628631.825,1905128.267
