,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions
773,Indeck Yerkes Energy Center,NY,42.9671,-78.9182,1989,Gas_CC,59,23979000.0,227488.85,13520.075
1048,RockGen Energy Center,WI,42.9767,-89.0492,2001,Gas_SC,561,466185000.0,4971121.011,295658.987
850,Batavia Power Plant,NY,42.9828,-78.1592,1992,Gas_CC,66,5307000.0,64677.204,3843.732
832,Fortistar North Tonawanda,NY,43.0483,-78.8539,1993,Gas_CC,65,11980000.0,184773.137,10981.236
809,Carr Street Generating Station,NY,43.06132,-76.08239,1993,Gas_CC,121,73459000.0,937994.117,55745.064
731,CH Resources Syracuse,NY,43.0664,-76.2144,1994,Gas_CC,102,6151000.0,50565.66,3005.003
205,J B Sims,MI,43.0706,-86.235,1983,Coal,80,38619000.0,356919.835,36621.025
664,West Campus Cogeneration Facility,WI,43.075071,-89.4251,2005,Gas_CC,169,448698000.0,4688450.289,278670.628
427,Blount Street,WI,43.0789,-89.3744,1925,Gas_SC,187,32919000.0,447227.249,26577.625
792,Sterling Power Plant,NY,43.080338,-75.600963,1991,Gas_CC,64,3224000.0,36272.158,2156.13
676,Emery Station,IA,43.094,-93.292222,2004,Gas_CC,602,2657240000.0,19742336.388,1173262.183
259,Schiller,NH,43.0978,-70.7842,1952,Coal,171,26631000.0,516433.601,50943.944
667,Newington,NH,43.1,-70.790833,1974,Gas_SC,414,18036000.0,244344.516,15086.256
1121,Newington,NH,43.1047,-70.8061,2002,Gas_CC,604,494592000.0,3536235.507,214199.966
460,Greenwood (MI),MI,43.1056,-82.6964,1979,Gas_SC,1070,1025811000.0,10833548.402,642438.498
258,Merrimack,NH,43.1411,-71.4692,1960,Coal,494,143744000.0,1432798.63,144674.354
1138,Bennett Mountain,ID,43.147153,-115.666637,2005,Gas_SC,392,315698000.0,3400267.35,202071.538
140,Earl F Wisdom,IA,43.1606,-95.2569,1960,Gas_SC,118,26047000.0,338633.074,20167.172
