,name,PM25RT
320,Klawock,
321,Klawock Power Generation Station,0.31
322,Kodiak Microgrid,
323,Kodiak Microgrid,
324,Kodiak Microgrid,
325,Kodiak Microgrid,
326,Kodiak Microgrid,
327,Kodiak Microgrid,
328,Kodiak Microgrid,
329,Kodiak Microgrid,
330,Kodiak Microgrid,
331,Kodiak Microgrid,
332,Kotlik,0.31
333,Kotlik,0.31
334,Kotlik,0.31
335,Kotlik,0.31
336,Kotzebue Hybrid,0.31
337,Kotzebue Hybrid,
338,Kotzebue Hybrid,
339,Kotzebue Hybrid,
340,Kotzebue Hybrid,
341,Kotzebue Hybrid,
342,Kotzebue Hybrid,
343,Kotzebue Hybrid,0.31
344,Kotzebue Hybrid,
345,Kotzebue Hybrid,0.31
346,Kotzebue Hybrid,
347,Kotzebue Hybrid,0.31
348,Kotzebue Hybrid,
349,Kotzebue Hybrid,0.31
350,Kotzebue Hybrid,
351,Kotzebue Hybrid,
352,Kotzebue Hybrid,
353,Kotzebue Hybrid,
354,Kotzebue Hybrid,
355,Kotzebue Hybrid,
356,Kotzebue Hybrid,
357,Kotzebue Hybrid,
358,Kotzebue Hybrid,
359,Kotzebue Hybrid,0.31
360,Kotzebue Hybrid,
361,Kotzebue Hybrid,
362,Kotzebue Hybrid,
363,Kotzebue Hybrid,
364,Kotzebue Hybrid,
365,Koyuk,0.31
366,Koyuk,0.31
367,Koyuk,0.31
368,Lake Dorothy Hydroelectric Project,
369,Lemon Creek,0.31
370,Lemon Creek,0.31
371,Lemon Creek,0.31
372,Lemon Creek,0.018
373,Lemon Creek,0.018
374,Lemon Creek,0.31
375,Lemon Creek,0.31
376,Lemon Creek,0.31
377,Lemon Creek,0.31
378,Lemon Creek,0.31
379,Lemon Creek,0.31
380,Mahoney Lake Hydroelectric,
381,Marshall,0.31
382,Marshall,0.31
383,Marshall,0.31
384,McGrath,
385,McGrath,
386,McGrath,
387,McGrath,
388,McGrath,
389,McGrath,0.31
390,McGrath,
391,McGrath,0.31
392,McGrath,
393,McGrath,0.31
394,McGrath,0.31
395,Mountain Village,0.31
396,Mountain Village,
397,Mountain Village,0.31
398,Mountain Village,
399,Mountain Village,0.31
400,Mountain Village,
401,Mountain Village,0.31
402,Naknek,0.31
403,Naknek,
404,Naknek,0.31
405,Naknek,
406,Naknek,0.31
407,Naknek,
408,Naknek,0.31
409,Naknek,0.31
410,Naknek,0.31
411,Naknek,0.31
412,Naknek,0.31
413,Naknek,0.31
414,Naknek,0.31
