,fuel_price_per_mmbtu
272,10.76406
274,10.76406
1865,7.60121
1508,2.06
1756,6.811608571428571
2540,6.31533
640,6.19089
1115,6.07682
1740,7.79824
2217,2.06
46,7.85009
395,12.73436
1196,6.953987745535715
771,7.051750457589285
277,10.76406
346,6.385845999999999
374,6.07682
2080,6.385845999999999
2531,7.9563825
279,10.76406
1841,7.62195
2046,7.44566
2008,6.07682
2695,2.06
157,2.06
2824,2.06
516,10.76406
1227,2.06
162,2.06
2743,7.10345
2082,6.385845999999999
2488,21.71
1979,6.60569
1339,6.77161
1117,6.07682
281,10.76406
396,12.73436
562,9.48855
1654,2.06
1842,7.62195
2632,8.86635
398,12.73436
949,2.06
1723,8.59673
2103,9.89946125
282,10.76406
284,10.76406
2586,2.06
1534,2.06
878,6.77161
809,6.83383
2495,21.71
2057,7.051750457589285
2011,6.07682
330,2.06
1171,6.293941875
880,6.77161
2588,2.06
519,10.76406
601,6.5331
2592,2.06
1119,6.07682
1915,2.06
2059,7.051750457589285
2060,7.051750457589285
1340,6.77161
883,6.77161
401,12.73436
1565,7.47677
1433,7.47677
711,7.09308
712,7.09308
1343,6.77161
1810,6.60569
49,7.85009
2422,2.06
2734,2.06
2396,8.86635
2645,2.06
2162,8.8145
2426,2.06
2351,7.09308
1005,6.5331
2744,7.10345
186,9.48855
2699,2.06
1566,7.47677
1568,7.47677
884,6.77161
2675,10.12718
2832,10.12718
1345,6.77161
1263,2.06
887,6.77161
286,10.76406
1454,6.5979125
2521,6.83383
1198,6.953987745535715
1067,7.85009
2649,2.06
2837,2.06
2151,2.06
2786,2.06
1069,7.85009
1605,2.06
1346,6.77161
888,6.77161
2219,2.06
2814,11.111455
2816,11.111455
459,9.06338
1348,6.77161
1120,6.07682
2225,2.06
791,6.07682
773,7.051750457589285
602,6.5331
1350,6.77161
1123,6.07682
289,10.76406
1980,6.60569
1125,6.07682
291,10.76406
2049,7.44566
1127,6.07682
96,21.71
521,10.76406
1918,2.06
429,6.5979125
1128,6.07682
1758,6.811608571428571
2762,21.71
1435,7.47677
1437,7.47677
1570,7.47677
1572,7.47677
1761,6.811608571428571
523,10.76406
1352,6.77161
1355,6.77161
292,10.76406
1659,2.06
642,6.19089
1356,6.77161
1575,7.47677
1359,6.77161
525,10.76406
2308,2.06
2818,11.111455
1576,7.47677
1201,6.953987745535715
891,6.77161
2024,8.90783
431,6.5979125
714,7.09308
2472,6.424215
50,7.85009
294,10.76406
2805,14.86021
2227,2.06
402,12.73436
1070,7.85009
893,6.77161
2655,2.06
736,6.31533
1724,8.59673
1679,6.86494
2597,2.06
2612,2.06
1131,6.07682
2063,7.051750457589285
895,6.77161
1133,6.07682
1072,7.85009
2321,6.19089
1995,9.9681625
2849,21.71
2339,21.71
2565,12.73436
1074,7.85009
896,6.77161
1266,2.06
1271,2.06
188,9.48855
1743,7.79824
2282,2.06
2383,6.91679
1360,6.77161
1172,6.293941875
1663,2.06
167,2.06
953,2.06
170,2.06
1456,6.5979125
898,6.77161
432,6.5979125
717,7.09308
1175,6.293941875
1550,9.83076
2801,9.83076
1077,7.85009
1745,7.79824
2312,2.06
900,6.77161
1021,9.06338
1579,7.47677
774,7.051750457589285
527,10.76406
2385,6.91679
1867,7.60121
673,7.10345
53,7.85009
2820,11.111455
55,7.85009
1812,6.60569
810,6.83383
2387,6.91679
2388,6.91679
1363,6.77161
296,10.76406
2105,9.89946125
1541,2.06
1709,8.59673
2064,7.051750457589285
2322,6.19089
298,10.76406
1762,6.811608571428571
2851,7.44566
300,10.76406
1134,6.07682
1815,6.60569
348,6.385845999999999
645,6.19089
832,6.874756933333333
173,2.06
983,7.79824
719,7.09308
1930,8.46192
1817,6.60569
2859,21.71
1078,7.85009
528,10.76406
834,6.874756933333333
1512,2.06
2808,7.52
2703,2.06
531,10.76406
1080,7.85009
1136,6.07682
533,10.76406
535,10.76406
902,6.77161
1364,6.77161
460,9.06338
405,12.73436
303,10.76406
1366,6.77161
904,6.77161
906,6.77161
2556,2.06
2231,2.06
1368,6.77161
2236,2.06
1139,6.07682
1141,6.07682
1022,9.06338
57,7.85009
1932,8.46192
2764,21.71
1581,7.47677
304,10.76406
1788,2.06
2829,2.06
59,7.85009
2067,7.051750457589285
1609,2.06
306,10.76406
350,6.385845999999999
793,6.07682
1669,2.06
1007,6.5331
647,6.19089
2658,2.06
627,2.06
1439,7.47677
1157,6.874756933333333
1082,7.85009
111,21.71
2707,2.06
1371,6.77161
1418,6.293941875
966,8.51377
908,6.77161
2708,2.06
60,7.85009
353,6.385845999999999
1727,8.59673
2863,2.06
2788,2.06
649,6.19089
1202,6.953987745535715
2505,21.71
2286,2.06
1024,9.06338
2069,7.051750457589285
354,6.385845999999999
911,6.77161
1747,7.79824
2070,7.051750457589285
1008,6.5331
2175,2.06
1545,2.06
2513,6.953987745535715
2522,6.83383
434,6.5979125
1613,2.06
308,10.76406
2514,6.953987745535715
62,7.85009
1458,6.5979125
2458,21.71
1481,7.60121
406,12.73436
1084,7.85009
738,6.31533
912,6.77161
2524,6.83383
2107,9.89946125
674,7.10345
2189,8.51377
463,9.06338
536,10.76406
539,10.76406
915,6.77161
1729,8.59673
1421,6.293941875
1372,6.77161
1460,6.5979125
2838,2.06
1177,6.293941875
436,6.5979125
1819,6.60569
357,6.385845999999999
1011,6.5331
2154,2.06
408,12.73436
1462,6.5979125
1374,6.77161
1377,6.77161
359,6.385845999999999
2013,6.07682
1483,7.60121
604,6.5331
1489,8.46192
1379,6.77161
2014,6.07682
2085,6.385845999999999
1380,6.77161
2475,6.424215
2714,2.06
1142,6.07682
720,7.09308
2823,11.111455
2240,2.06
794,6.07682
969,8.51377
540,10.76406
2867,2.06
1144,6.07682
1670,2.06
917,6.77161
1821,6.60569
2072,7.051750457589285
2477,6.424215
723,7.09308
724,7.09308
2117,7.62195
918,6.77161
2390,6.91679
542,10.76406
1748,7.79824
2532,7.9563825
796,6.07682
727,7.09308
813,6.83383
1086,7.85009
1179,6.293941875
1383,6.77161
920,6.77161
923,6.77161
2871,21.71
2243,2.06
1230,2.06
1235,2.06
2118,7.62195
925,6.77161
815,6.83383
115,21.71
191,9.48855
310,10.76406
544,10.76406
1921,2.06
361,6.385845999999999
1792,2.06
2087,6.385845999999999
2089,6.385845999999999
1485,7.60121
2534,7.9563825
176,2.06
2017,6.07682
362,6.385845999999999
1982,6.60569
1464,6.5979125
192,9.48855
2356,2.06
1467,6.5979125
1985,6.60569
2566,12.73436
1275,2.06
2246,2.06
122,21.71
2324,6.19089
1146,6.07682
1582,7.47677
2050,7.44566
1822,6.60569
651,6.19089
1026,9.06338
2773,21.71
2635,8.86635
2811,7.52
2290,2.06
2027,8.90783
2159,2.06
817,6.83383
2660,2.06
2616,2.06
183,2.06
2526,6.83383
1832,8.90783
927,6.77161
1279,2.06
2881,21.71
2360,2.06
928,6.77161
2364,2.06
1385,6.77161
1868,7.60121
1387,6.77161
1389,6.77161
312,10.76406
1585,7.47677
546,10.76406
1824,6.60569
819,6.83383
2430,2.06
2437,2.06
2439,2.06
2445,2.06
364,6.385845999999999
607,6.5331
1871,7.60121
464,9.06338
1029,9.06338
2746,7.10345
729,7.09308
