,Plant Name,Planned Retirement Year,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
404,,,Sim Gideon,TX,30.1456,-97.2708,1965,Gas_SC,623,680051000.0,6856742.529,407490.218,Gas,-116.66898878337413,175433.56307521457,0.015801025811636425,0.01562559224856121,Gas_SC→Gas,24427841.178999994,958.4615384615385
171,,,Little Gypsy,LA,30.005067,-90.461694,1961,Gas_SC,1249,1713462000.0,18307564.102,1087990.954,Gas,-115.26361820051063,503299.12932694936,0.016304324940963375,0.015801025811636425,Gas_SC→Gas,25515832.132999994,1921.5384615384617
407,,,O W Sommers,TX,29.308056,-98.3242,1972,Gas_SC,892,979976000.0,10762585.211,639604.099,Gas,-114.39688323802199,305202.7784129095,0.016609527719376283,0.016304324940963375,Gas_SC→Gas,26155436.231999993,1372.3076923076924
682,,,Gerald Andrus,MS,33.35,-91.1167,1975,Gas_SC,781,1038230000.0,11519664.597,684678.854,Gas,-112.79960639355211,330399.27667041746,0.016939926996046704,0.016609527719376287,Gas_SC→Gas,26840115.08599999,1201.5384615384614
149,,,Chanute 2,KS,37.6953,-95.4586,1965,Gas_SC,64,243288000.0,3269468.305,193589.122,Gas,-111.0637218073522,110570.93738834411,0.01705049793343505,0.016939926996046704,Gas_SC→Gas,27033704.207999993,98.46153846153845
35,,,AES Huntington Beach LLC,CA,33.6439,-117.9792,1958,Gas_SC,1021,1322790000.0,9458494.236,562099.998,Gas,-110.26087547424429,110718.81840029801,0.017161216751835347,0.01705049793343505,Gas_SC→Gas,27595804.205999993,1570.7692307692307
8,,,Lowman Energy Center,AL,31.488019,-87.910747,1969,Coal,538,394730000.0,4043808.636,414894.287,Wind,-109.9850619205565,414894.287,0.017576111038835347,0.017161216751835347,Coal→Wind,28010698.492999993,1034.6153846153845
363,,,Urquhart,SC,33.435,-81.9111,1953,Gas_CC,755,1363832000.0,15099214.228,899655.8539999999,Gas,-108.71751828733673,434269.7406064751,0.018010380779441823,0.017576111038835347,Gas_CC→Gas,28910354.34699999,1161.5384615384614
134,,,George Neal North,IA,42.299794,-96.361707,1964,Coal,1080,942043000.0,9719747.225,1019408.05,Wind,-107.33071254795219,1019408.05,0.019029788829441823,0.018010380779441823,Coal→Wind,29929762.396999992,2076.923076923077
378,,,Nueces Bay,TX,27.819412,-97.419203,1949,Gas_CC,941,1252086000.0,9111852.548,541505.7170000001,Wind,-106.34507044222951,541505.7170000001,0.019571294546441822,0.019029788829441823,Gas_CC→Wind,30471268.113999993,1809.6153846153845
155,,,E W Brown,KY,37.78831,-84.71257,1957,Gas_SC,1748,1458548000.0,15795745.82,1516834.619,Wind,-103.56379552668982,1516834.619,0.02108812916544182,0.019571294546441822,Gas_SC→Wind,31988102.73299999,3361.538461538462
25,,,Apache Station,AZ,32.0603,-109.8931,1963,Gas_SC,658,2354923000.0,24173837.737,1683841.084,Gas,-103.22229031690692,880260.8319520793,0.0219683899973939,0.02108812916544182,Gas_SC→Gas,33671943.816999994,1012.3076923076924
351,,,New Castle Plant,PA,40.937939,-80.369007,1939,Gas_SC,424,595298000.0,6338136.165,376668.958,Gas,-102.00835842688574,173532.92472688528,0.022141922922120787,0.0219683899973939,Gas_SC→Gas,34048612.77499999,652.3076923076924
370,,,Allen,TN,35.074087,-90.14868,1959,Gas_CC,2764,3815383000.0,24638356.599,1464222.803,Wind,-97.46250332400766,1464222.803,0.023606145725120785,0.022141922922120787,Gas_CC→Wind,35512835.577999994,5315.384615384615
116,,,Harding Street,IN,39.711319,-86.196867,1941,Gas_SC,1176,1737404000.0,17931821.542,1065762.083,Gas,-96.67207022572343,472900.4292520578,0.024079046154372844,0.023606145725120785,Gas_SC→Gas,36578597.66099999,1809.2307692307693
280,,,East River,NY,40.7281,-73.9742,1951,Gas_SC,716,2593206000.0,36564742.325,2173868.175,Gas,-96.23596970084387,1288977.6154818414,0.025368023769854687,0.024079046154372844,Gas_SC→Gas,38752465.83599999,1101.5384615384614
26,,,GREC,OK,36.190278,-95.2894,1981,Gas_CC,1734,2615424000.0,17736827.73,1099988.09,Wind,-94.77042926940389,1099988.09,0.026468011859854687,0.025368023769854687,Gas_CC→Wind,39852453.92599999,3334.6153846153848
