,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
19,H Wilson Sundt Generating Station,AZ,32.16,-110.9047,1958,Gas_SC,736,1016524000.0,10599106.418,629887.725,Gas,-108.0016348218348,283014.9770873249,0.012626320473954832,0.012343305496867508,Gas_Gas,27983332.315999996
838,Ocean State Power II,RI,42.0099,-71.6701,1991,Gas_CC,252,421685000.0,5073498.176,301591.385,Gas,-103.6708316653388,157698.04386535255,0.012784018517820185,0.012626320473954832,Gas_Gas,28284923.700999998
744,Las Vegas Generating Station,NV,36.2319,-115.1222,1994,Gas_CC,354,270089000.0,2819195.911,167537.117,Gas,-103.13358546139054,75373.51475255036,0.012859392032572735,0.012784018517820185,Gas_Gas,28452460.817999996
352,Brunner Island,PA,40.096111,-76.6962,1961,Gas_SC,1621,2060637000.0,19918795.885,1342783.238,Gas,-102.893964276324,639623.4319939135,0.013499015464566649,0.012859392032572735,Gas_Gas,29795244.055999994
371,Bull Run,TN,36.0211,-84.1567,1967,Coal,950,739769000.0,7270929.042,745998.767,Gas,-102.22501000062171,493564.2884725754,0.013992579753039225,0.013499015464566649,Coal_Gas,30541242.822999995
134,George Neal North,IA,42.299794,-96.361707,1964,Coal,1080,942043000.0,9719747.225,1019408.05,Gas,-97.97433481377512,697950.7660973079,0.014690530519136531,0.013992579753039225,Coal_Gas,31560650.872999996
810,Ocean State Power,RI,42.009722,-71.668909,1990,Gas_CC,252,442546000.0,5175091.072000001,307762.369,Gas,-96.96769214465448,156750.54134245066,0.014847281060478982,0.014690530519136531,Gas_Gas,31868413.241999995
8,Lowman Energy Center,AL,31.488019,-87.910747,1969,Coal,538,394730000.0,4043808.636,414894.287,Gas,-92.71394246326325,280198.91356703604,0.015127479974046018,0.014847281060478982,Coal_Gas,32283307.528999995
631,H L Culbreath Bayside Power Station,FL,27.9072,-82.4231,1965,Gas_CC,2785,5013603000.0,53789560.455,3196640.9220000003,Gas,-89.69403502308292,1485828.1428101026,0.016613308116856122,0.015127479974046018,Gas_Gas,35479948.451
42,El Centro Hybrid,CA,32.802222,-115.54,1952,Gas_CC,435,660521000.0,5363384.605,318738.575,Gas,-89.517936772859,93346.22388578329,0.016706654340741905,0.016613308116856122,Gas_Gas,35798687.026
107,Waukegan,IL,42.3833,-87.8133,1952,Coal,914,747412000.0,7877858.9,832780.45,Gas,-88.78456348407883,577737.918527149,0.017284392259269053,0.016706654340741905,Coal_Gas,36631467.476
185,Morgantown Generating Plant,MD,38.3592,-76.9767,1970,Coal,1548,1259835000.0,12531503.731,1284643.79,Gas,-88.30056511702541,854745.009089205,0.01813913726835826,0.017284392259269053,Coal_Gas,37916111.266
