,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,ori_rep,cum_emission,cum_red,cum_red_prev
376,Kingston,TN,35.8992,-84.5194,1954,Coal,1700,1746724000.0,18878690.876,1958476.24,Gas,-18.748892530238802,1362317.7891064673,Coal_Gas,115253221.082,0.06278872925094528,0.06142641146183881
293,Greenidge Generation LLC,NY,42.6789,-76.9483,1950,Gas_SC,162,392792000.0,3849053.684,228303.061,Gas,-18.729812292857023,94242.80291493761,Gas_Gas,115481524.143,0.06288297205386022,0.06278872925094528
837,Birchwood Power,VA,38.2667,-77.3147,1996,Coal,258,99801000.0,1058633.744,108615.784,Gas,-18.303348590165335,74553.6141565528,Coal_Gas,115590139.927,0.06295752566801677,0.06288297205386022
854,NAEA Lakewood LLC,NJ,40.0613,-74.1686,1994,Gas_CC,235,165175000.0,1943860.847,115518.244,Gas,-18.058084556094887,59143.86995674001,Gas_Gas,115705658.171,0.06301666953797351,0.06295752566801677
710,Castleton Energy Center,NY,42.5375,-73.7433,1992,Gas_CC,72,81970000.0,739155.058,43928.712,Gas,-16.013767772315454,15952.278276216002,Gas_Gas,115749586.883,0.06303262181624972,0.06301666953797351
25,Apache Station,AZ,32.0603,-109.8931,1963,Gas_SC,658,2354923000.0,24173837.737,1683841.084,Gas,-15.83722084317109,880103.7748123144,Gas_Gas,117433427.96700001,0.06391272559106204,0.06303262181624972
4,E C Gaston,AL,33.244211,-86.458056,1960,Gas_SC,2033,4159470000.0,44005747.7,3832358.702,Gas,-15.640918012135428,2412727.900718216,Gas_Gas,121265786.66900001,0.06632545349178025,0.06391272559106204
869,Brooklyn Navy Yard Cogeneration,NY,40.699357,-73.976392,1996,Gas_CC,322,1616508000.0,18359005.639,1091072.527,Gas,-15.212596958608659,539356.9124341024,Gas_Gas,122356859.19600001,0.06686481040421435,0.06632545349178025
822,C R Wing Cogen Plant,TX,32.273178,-101.422386,1987,Gas_CC,229,643828000.0,6149831.097,365478.925,Gas,-15.052551277798777,145739.8573957984,Gas_Gas,122722338.121,0.06701055026161015,0.06686481040421435
575,George Neal South,IA,42.3006,-96.3617,1979,Coal,695,759395000.0,7135139.05,748335.0499999999,Gas,-14.355838975338918,489152.86276475596,Coal_Gas,123470673.171,0.06749970312437491,0.06701055026161015
759,Paris Energy Center,TX,33.6968,-95.5577,1989,Gas_CC,264,408641000.0,3474746.948,206500.832,Gas,-13.971044088549828,67031.29615370481,Gas_Gas,123677174.003,0.06756673442052862,0.06749970312437491
160,Elmer Smith,KY,37.7942,-87.0608,1964,Coal,445,501812000.0,4914382.851,504216.512,Gas,-13.351293837585548,332947.6311923936,Coal_Gas,124181390.515,0.067899682051721,0.06756673442052862
6,Dolet Hills,LA,32.030556,-93.569167,1986,Coal,720,793116000.0,7632777.63,830981.316,Gas,-13.30992032631367,560290.1215474848,Coal_Gas,125012371.831,0.06845997217326849,0.067899682051721
383,Lewis Creek,TX,30.4356,-95.5214,1970,Gas_SC,542,2362997000.0,23027716.052,1368501.96,Gas,-12.081663800194027,562008.9874490616,Gas_Gas,126380873.791,0.06902198116071756,0.06845997217326849
768,Newark Bay Cogeneration Partnership LP,NJ,40.7197,-74.13,1993,Gas_CC,152,60115000.0,526378.4870000001,31281.952,Gas,-11.14205109782069,10764.649165972001,Gas_Gas,126412155.743,0.06903274580988354,0.06902198116071756
129,Lansing,IA,43.3359,-91.1675,1948,Coal,339,405557000.0,4329877.575,453574.457,Gas,-10.957369688359874,315157.4930898296,Coal_Gas,126865730.2,0.06934790330297336,0.06903274580988354
364,Wateree,SC,33.8264,-80.6228,1970,Coal,770,914984000.0,8639431.337000001,886406.4909999999,Gas,-9.90151177372278,574121.6400261952,Coal_Gas,127752136.691,0.06992202494299955,0.06934790330297336
483,Sooner,OK,36.45307,-97.05279,1979,Coal,2088,2562602000.0,26416800.709,2765181.454,Gas,-9.300108165439173,1890563.1178595056,Coal_Gas,130517318.145,0.07181258806085906,0.06992202494299955
382,Newman,TX,31.983587,-106.431777,1960,Gas_CC,879,3118790000.0,29565593.574,1757096.285,Gas,-8.76151173332821,692650.491009512,Gas_Gas,132274414.42999999,0.07250523855186859,0.07181258806085906
105,Kincaid Generation LLC,IL,39.590556,-89.496389,1967,Coal,1318,1624422000.0,16187689.842,1697765.107,Gas,-8.535913147728165,1143348.4372128015,Coal_Gas,133972179.53699999,0.07364858698908139,0.07250523855186859
95,Arvah B Hopkins,FL,30.4522,-84.4,1970,Gas_CC,1107,1412279000.0,11056639.06,657115.279,Gas,-6.881770644557262,175103.2033260712,Gas_Gas,134629294.81599998,0.07382369019240746,0.07364858698908139
479,R M Schahfer,IN,41.2164,-87.0261,1976,Coal,2200,3160356000.0,36912136.116,3810973.865,Gas,-5.370710152138969,2732341.5583321573,Coal_Gas,138440268.681,0.07655603175073962,0.07382369019240746
447,Barney M Davis,TX,27.6064,-97.3117,1974,Gas_CC,1081,1335596000.0,10299947.489,612109.759,Gas,-5.361459455833766,156269.6592592288,Gas_Gas,139052378.44,0.07671230140999885,0.07655603175073962
554,Concord,WI,43.1669,-88.69,1993,Gas_SC,380,93118000.0,1246087.077,74053.895,Gas,-5.305931069056791,42272.63898571041,Gas_Gas,139126432.335,0.07675457404898456,0.07671230140999885
86,Big Bend,FL,27.7944,-82.4036,1969,Coal,2076,3335206000.0,40258076.805,2852606.378,Gas,-4.510112726636554,1714297.611205237,Coal_Gas,141979038.713,0.07846887166018979,0.07675457404898456
42,El Centro Hybrid,CA,32.802222,-115.54,1952,Gas_CC,435,660521000.0,5363384.605,318738.575,Gas,-3.560325059970106,93302.17168576882,Gas_Gas,142297777.288,0.07856217383187557,0.07846887166018979
876,Androscoggin Energy Center,ME,44.506315,-70.242312,1999,Gas_SC,162,374378000.0,4668678.569,277735.255,Gas,-3.412610066832947,149959.71145183843,Gas_Gas,142575512.54299998,0.0787121335433274,0.07856217383187557
335,Northeastern,OK,36.4317,-95.7008,1961,Coal,1949,3054286000.0,34998029.009,2688246.005,Gas,-3.1981036557807063,1645815.4834374608,Coal_Gas,145263758.54799998,0.08035794902676487,0.0787121335433274
433,Edgewater,WI,43.715142,-87.705863,1951,Coal,833,1189922000.0,12373316.499,1297712.24,Gas,-2.8967252606208542,891590.8057012015,Coal_Gas,146561470.788,0.08124953983246606,0.08035794902676487
217,Hoot Lake,MN,46.290641,-96.043252,1914,Coal,137,213468000.0,2501980.075,262407.725,Gas,-2.723775227590331,189550.90721119038,Coal_Gas,146823878.51299998,0.08143909073967726,0.08124953983246606
536,Rawhide,CO,40.860905,-105.021207,1984,Gas_SC,798,2221328000.0,20670571.479,2088151.445,Gas,-2.6077206063931038,1330010.2278377987,Gas_Gas,148912029.95799997,0.08276910096751505,0.08143909073967726
898,Taft Cogeneration Facility,LA,29.9888,-90.4599,2002,Gas_CC,892,3652995000.0,42945276.377,2552160.82,Gas,-2.5350190444786556,1305390.385562836,Gas_Gas,151464190.77799997,0.08407449135307789,0.08276910096751505
373,Gallatin (TN),TN,36.3156,-86.4006,1956,Coal,1914,2765308000.0,27983225.26,2853724.553,Gas,-1.8243609025424388,1909922.4792187423,Coal_Gas,154317915.33099997,0.08598441383229663,0.08407449135307789
113,Dallman,IL,39.754803,-89.602389,1968,Coal,617,916183000.0,9252006.177,946787.427,Gas,-0.6101011116465571,634093.3562624424,Coal_Gas,155264702.75799996,0.08661850718855907,0.08598441383229663
87,Deerhaven Generating Station,FL,29.7592,-82.3878,1972,Coal,469,750718000.0,8258550.147,622402.804,Gas,-0.4337138691167253,366182.0845629904,Coal_Gas,155887105.56199995,0.08698468927312206,0.08661850718855907
881,Cherokee County Cogen,SC,35.0727,-81.613,1998,Gas_CC,101,238778000.0,2776713.647,165015.424,Gas,-0.36932592086188754,83520.2807561584,Gas_Gas,156052120.98599994,0.08706820955387821,0.08698468927312206
215,Allen S King,MN,45.03,-92.7786,1958,Coal,598,894925000.0,8883284.94,931679.661,Gas,0.22111931749744637,626240.96452254,Coal_Gas,156983800.64699996,0.08769445051840076,0.08706820955387821
744,Las Vegas Generating Station,NV,36.2319,-115.1222,1994,Gas_CC,354,270089000.0,2819195.911,167537.117,Gas,0.5061603496612223,75355.50167703921,Gas_Gas,157151337.76399997,0.08776980602007779,0.08769445051840076
244,Lon Wright,NE,41.4281,-96.4623,1957,Coal,211,327347000.0,3305806.129,340384.907,Gas,1.1505790919204502,228661.0854777416,Coal_Gas,157491722.67099997,0.08799846710555553,0.08776980602007779
743,Camden Plant Holdings LLC,NJ,39.9175,-75.1192,1993,Gas_CC,172,119443000.0,1073546.751,63797.797,Gas,1.180484789656558,23031.7951301704,Gas_Gas,157555520.46799996,0.0880214989006857,0.08799846710555553
831,Kennedy International Airport Cogen,NY,40.6417,-73.7778,1994,Gas_CC,171,431255000.0,4316863.858,256622.174,Gas,1.377293632247579,109434.459890564,Gas_Gas,157812142.64199996,0.08813093336057626,0.0880214989006857
379,Victoria,TX,28.7883,-97.01,1955,Gas_CC,712,966155000.0,7497727.98,445582.317,Gas,1.6016942631703255,115832.75832728401,Gas_Gas,158257724.95899996,0.08824676611890354,0.08813093336057626
530,Independence Steam Electric Station,AR,35.678442,-91.408761,1983,Coal,1800,3136187000.0,35188269.116000004,3688666.339,Gas,1.790633690363094,2618282.9334748937,Coal_Gas,161946391.29799995,0.09086504905237845,0.08824676611890354
994,Whiting Clean Energy,IN,41.6739,-87.4775,2002,Gas_CC,575,2259294000.0,26051463.417,1548203.317,Gas,1.7981351348505425,777104.2703543633,Gas_Gas,163494594.61499995,0.0916421533227328,0.09086504905237845
28,Thomas Fitzhugh,AR,35.462382,-93.804926,1963,Gas_CC,185,434792000.0,3751482.31,223336.403,Gas,1.854488046928508,74941.5076525376,Gas_Gas,163717931.01799995,0.09171709483038534,0.0916421533227328
20,Oklaunion,TX,34.0825,-99.1753,1986,Coal,720,1209201000.0,12914358.63,1354458.972,Gas,2.175409836943662,941757.5978968729,Coal_Gas,165072389.98999995,0.09265885242828222,0.09171709483038534
469,Nearman Creek,KS,39.1681,-94.6975,1981,Coal,671,1208375000.0,13611277.482,1423278.426,Gas,2.6260793356556813,1010858.9664297,Coal_Gas,166495668.41599995,0.0936697113947119,0.09265885242828222
859,Live Oak Limited,CA,35.4837,-119.0298,1992,Gas_SC,46,22116000.0,196218.7,11659.3,Gas,2.66319504511167,4111.0895786848,Gas_Gas,166507327.71599996,0.0936738224842906,0.0936697113947119
518,Scherer,GA,33.0606,-83.8075,1982,Coal,3564,6455829000.0,71558364.304,7505037.866,Gas,3.2933605737283043,5301657.700688511,Coal_Gas,174012365.58199996,0.0989754801849791,0.0936738224842906
784,Westwood Generation LLC,PA,40.6191,-76.45,1987,Coal,36,214724000.0,3723178.783,440344.765,Gas,3.5990498203802224,367059.2732968672,Coal_Gas,174452710.34699994,0.09934253945827598,0.0989754801849791
978,Liberty Electric Power Plant,PA,39.8614,-75.3358,2002,Gas_CC,614,2411821000.0,27416463.35,1629330.79,Gas,4.373637609459288,806174.1429324088,Gas_Gas,176082041.13699993,0.10014871360120839,0.09934253945827598
114,Marion,IL,37.619747,-88.953114,1963,Coal,422,1000046000.0,12859348.206,1356548.317,Gas,4.5077903316559,1015231.7299591888,Coal_Gas,177438589.45399994,0.10116394533116758,0.10014871360120839
507,Tolk,TX,34.186494,-102.56999,1982,Coal,1134,2029709000.0,21336678.285,2222219.412,Gas,4.778658545988653,1529477.9295421753,Coal_Gas,179660808.86599994,0.10269342326070975,0.10116394533116758
346,Homer City Generating Station,PA,40.512825,-79.196107,1969,Coal,2012,3413527000.0,33998054.615,3488198.994,Gas,5.0451497511222065,2323159.2004188458,Coal_Gas,183149007.85999992,0.10501658246112859,0.10269342326070975
498,Rockport,IN,37.9256,-87.0372,1984,Coal,2600,4358302000.0,41905763.266,4383521.255,Gas,5.779002958401913,2896028.9157144655,Coal_Gas,187532529.11499992,0.10791261137684306,0.10501658246112859
811,Doswell Energy Center,VA,37.820805,-77.446246,1991,Gas_CC,1313,5804767000.0,52120200.275,3097620.62,Gas,7.567512827905836,1116448.4929107178,Gas_Gas,190630149.73499992,0.10902905986975378,0.10791261137684306
126,F B Culley,IN,37.9111,-87.3275,1955,Coal,414,1020047000.0,12318607.888,1258642.022,Gas,7.699349421064296,910499.0759143017,Coal_Gas,191888791.75699994,0.10993955894566809,0.10902905986975378
313,R M Heskett,ND,46.8669,-100.8836,1954,Coal,203,459560000.0,5172104.727,561996.822,Gas,7.987796839387576,405148.586278368,Coal_Gas,192450788.57899994,0.11034470753194645,0.10993955894566809
1029,Ironwood LLC,PA,40.3509,-76.3658,2001,Gas_CC,777,3300793000.0,35940023.9,2135860.525,Gas,8.07182642317977,1009296.9456364503,Gas_Gas,194586649.10399994,0.1113540044775829,0.11034470753194645
930,Lake Road Generating Plant,CT,41.872043,-71.895799,2002,Gas_CC,840,3619711000.0,39772251.212,2363498.479,Gas,8.422336125470995,1128087.9032924008,Gas_Gas,196950147.58299994,0.11248209238087531,0.1113540044775829
833,Stony Brook Cogen Plant,NY,40.916833,-73.129056,1995,Gas_SC,47,350411000.0,3334709.923,198180.252,Gas,8.685233752782542,78584.66681536082,Gas_Gas,197148327.83499995,0.11256067704769065,0.11248209238087531
493,Welsh,TX,33.05522,-94.839993,1977,Coal,1674,3587706000.0,38601790.456,4048551.427,Gas,8.899426380475353,2824064.186187237,Coal_Gas,201196879.26199993,0.1153847412338779,0.11256067704769065
592,Tiger Bay,FL,27.746369,-81.849446,1997,Gas_CC,277,517793000.0,5725426.534,340251.62,Gas,9.082075596590172,163528.40971405042,Gas_Gas,201537130.88199994,0.11554826964359194,0.1153847412338779
1170,Hunterstown Power Plant,PA,39.8725,-77.1672,2003,Gas_CC,898,4282993000.0,46596373.326,2769155.771,Gas,10.00483481697747,1307366.4602286108,Gas_Gas,204306286.65299994,0.11685563610382055,0.11554826964359194
452,White Bluff,AR,34.4228,-92.1406,1980,Coal,1800,4195667000.0,46014977.17,4824080.41,Gas,10.110221993080861,3392095.5405042376,Coal_Gas,209130367.06299993,0.12024773164432478,0.11685563610382055
162,Shawnee,KY,37.1517,-88.775,1953,Coal,1750,4089194000.0,44866116.756,4705547.174,Gas,10.14209043479491,3309901.633867083,Coal_Gas,213835914.23699993,0.12355763327819186,0.12024773164432478
138,Muscatine Plant #1,IA,41.3917,-91.0569,1958,Coal,293,811937000.0,9568391.947,1003529.785,Gas,10.490679988803496,726414.9665494936,Coal_Gas,214839444.02199993,0.12428404824474136,0.12355763327819186
