,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
111,Baldwin Energy Complex,IL,38.205,-89.8544,1970,Coal,1893,4473276000.0,42583477.514,4466151.61,Gas,-15.059299943644222,2939716.879199921,0.09389022845530981,0.09095051157610988,Coal→Gas,156792503.76999998
13,Cholla,AZ,34.9394,-110.3033,1962,Coal,1127,3529723000.0,40707844.837,4176620.563,Gas,-14.88110300306044,2972158.3797356887,0.0968623868350455,0.09389022845530981,Coal→Gas,160969124.33299997
419,Transalta Centralia Generation,WA,46.755938,-122.859764,1972,Coal,1778,5470187000.0,60929479.257,6390281.626,Gas,-14.780620181977348,4523666.773535924,0.10138605360858143,0.0968623868350455,Coal→Gas,167359405.95899996
210,Clay Boswell,MN,47.2611,-93.6528,1958,Coal,1072,4629537000.0,47968429.253,5023355.5940000005,Gas,-14.10571650580301,3443599.266797296,0.10482965287537871,0.10138605360858143,Coal→Gas,172382761.55299997
252,North Omaha,NE,41.32909,-95.94466,1954,Coal,642,1947607000.0,20227757.291,2105599.714,Gas,-11.579498776001392,1441009.6089518545,0.10627066248433056,0.10482965287537871,Coal→Gas,174488361.26699996
312,Marshall (NC),NC,35.5975,-80.9658,1965,Coal,2118,6545010000.0,59710933.33499999,6104876.479,Gas,-11.296607411452282,3871495.2663420234,0.1101421577506726,0.10627066248433056,Coal→Gas,180593237.74599996
423,Mitchell (WV),WV,39.8297,-80.8153,1971,Coal,1632,3956208000.0,39052565.323,4000630.396,Gas,-10.713486677767257,2650636.9474694114,0.112792794698142,0.1101421577506726,Coal→Gas,184593868.14199996
90,Northside Generating Station,FL,30.4172,-81.5525,1966,Coal,1405,5080842000.0,55671482.453,4623721.522,Gas,-9.984124914986836,2889964.4968337156,0.11568275919497571,0.112792794698142,Coal→Gas,189217589.66399997
119,AES Petersburg,IN,38.5281,-87.2525,1967,Coal,2150,6925548000.0,70137795.295,7196134.229,Gas,-9.9025776147957,4832900.438591578,0.1205156596335673,0.11568275919497571,Coal→Gas,196413723.89299998
357,Hunlock Power Station,PA,41.200556,-76.07,1959,Gas_CC,145,269228000.0,2075792.719,123361.755,Gas,-9.575957491251142,31491.955393661454,0.12054715158896095,0.1205156596335673,Gas_CC→Gas,196537085.64799997
52,Hayden,CO,40.4856,-107.185,1965,Coal,465,2286358000.0,24115724.321,2474266.67,Gas,-9.50789465892415,1694083.1404698286,0.1222412347294308,0.12054715158896095,Coal→Gas,199011352.31799996
53,McWilliams,AL,31.400255,-86.476449,1954,Gas_CC,653,2879239000.0,29887417.483,1776162.766,Gas,-9.432879266455798,793667.9662438284,0.12303490269567463,0.1222412347294308,Gas_CC→Gas,200787515.08399996
97,Bowen,GA,34.1256,-84.9222,1971,Coal,3538,8768072000.0,84573288.441,8677220.883,Gas,-9.393669523103606,5685254.900360942,0.12872015759603558,0.12303490269567463,Coal→Gas,209464735.96699995
388,W A Parish,TX,29.4828,-95.6311,1958,Coal,4005,11731786000.0,116339094.918,11373985.015,Gas,-8.880872125739321,7370698.474059058,0.1360908560700946,0.12872015759603556,Coal→Gas,220838720.98199993
440,Genoa,WI,43.5589,-91.2325,1969,Coal,345,1006246000.0,10542454.298,1105690.912,Gas,-8.72211921180715,762325.3691341772,0.1368531814392288,0.1360908560700946,Coal→Gas,221944411.89399993
431,South Oak Creek,WI,42.8457,-87.8294,1959,Coal,1258,3381674000.0,33900439.978,3553613.478,Gas,-7.862186218528452,2399670.6759364507,0.13925285211516528,0.1368531814392288,Coal→Gas,225498025.37199992
148,Lawrence Energy Center,KS,39.0072,-95.269167,1952,Coal,604,2137047000.0,21159756.632,2181852.158,Gas,-7.640956056491357,1452618.6472235317,0.1407054707623888,0.13925285211516528,Coal→Gas,227679877.5299999
316,Cardinal,OH,40.2522,-80.6486,1967,Coal,1880,9760784000.0,98432593.129,10088892.151,Gas,-5.1385332494937295,6758178.889077929,0.14746364965146672,0.1407054707623888,Coal→Gas,237768769.6809999
115,Clifty Creek,IN,38.7378,-85.4206,1955,Coal,1302,4881738000.0,48939578.429,5021194.772,Gas,-4.905618240220085,3355378.8398137195,0.15081902849128043,0.14746364965146672,Coal→Gas,242789964.4529999
535,Warrick,IN,37.915,-87.3328,1960,Coal,821,5239879000.0,57585408.857,5908255.332,Gas,-4.815432398870192,4120229.444308298,0.15493925793558874,0.15081902849128043,Coal→Gas,248698219.78499988
25,Apache Station,AZ,32.0603,-109.8931,1963,Gas_SC,658,2354923000.0,24173837.737,1683841.084,Gas,-4.281084573519977,880260.8319520793,0.1558195187675408,0.15493925793558874,Gas_SC→Gas,250382060.86899987
146,La Cygne,KS,38.3481,-94.6456,1973,Coal,1598,6650553000.0,65925746.963,6912975.648,Gas,-4.001242109080895,4643579.554795231,0.16046309832233605,0.1558195187675408,Coal→Gas,257295036.51699987
110,Joppa Steam,IL,37.2094,-88.858889,1953,Coal,1098,4492161000.0,44699839.569,4446866.1,Gas,-3.016856410205127,2913987.1614445397,0.1633770854837806,0.16046309832233605,Coal→Gas,261741902.61699986
424,Mt Storm,WV,39.2008,-79.2636,1965,Coal,1680,5067481000.0,50102368.115,5140495.682,Gas,-2.987557430154928,3411297.8869009465,0.16678838337068153,0.16337708548378058,Coal→Gas,266882398.29899988
327,Kyger Creek,OH,38.9144,-82.1289,1955,Coal,1085,5271043000.0,51540009.535,5287990.864,Gas,-2.5514366361957634,3489330.7538836915,0.17027771412456522,0.16678838337068153,Coal→Gas,272170389.16299987
227,Hawthorn,MO,39.1306,-94.4778,1969,Coal,1045,2381292000.0,22713664.04,2263843.506,Gas,-2.3852180622978456,1451265.2494881323,0.17172897937405335,0.17027771412456522,Coal→Gas,274434232.66899985
133,Walter Scott Jr Energy Center,IA,41.18,-95.8408,1954,Coal,1777,5450692000.0,52232489.325,5478142.3,Gas,-0.2996017261005185,3618179.8081496996,0.17534715918220306,0.17172897937405335,Coal→Gas,279912374.96899986
102,E D Edwards,IL,40.5958,-89.6631,1960,Coal,779,3338667000.0,32727715.523,3432477.373,Gas,-0.14719203794635022,2293210.0299216593,0.1776403692121247,0.17534715918220306,Coal→Gas,283344852.3419999
272,Four Corners,NM,36.69,-108.4814,1963,Coal,2269,8243761000.0,80177568.04,8226212.118,Gas,0.907268446458542,5413158.976898223,0.18305352818902293,0.1776403692121247,Coal→Gas,291571064.45999986
