ORISPL_CODE,GLOAD (MW),CO2_MASS (tons),HEAT_INPUT (mmBtu)
599,5135.0,3798.2290000000003,63914.228
602,1148597.0,1250397.931,12187110.157
607,32387.0,19632.391,321521.274
609,6512104.0,2477298.379,41643131.499
612,9991866.0,4041413.56,67975741.038
613,411469.0,230719.654,3872543.989
617,6500494.0,2425341.361,40796329.79
619,6701391.0,2474489.893,41590560.008
620,9918293.0,4039583.5069999998,67973650.826
621,6595294.0,2600014.116,43740623.14
628,15609828.0,8557198.43,116870276.679
634,7013834.0,3045188.213,51241127.322
641,1308078.0,1263481.962,14486362.104
643,5059620.0,2093567.51,35228323.383
645,3335206.0,2852606.378,40258076.805
663,750718.0,622402.804,8258550.147
664,833568.0,410986.712,6915963.718
666,134223.0,77451.624,1300445.788
667,5080842.0,4623721.522,55671482.453
673,142.0,57.174,966.052
675,103643.0,86352.363,1452965.512
676,2031202.0,1583518.393,21820771.667
683,23594.0,19692.638,330808.61199999996
688,1412279.0,657115.279,11056639.06
689,663452.0,395280.832,6650960.348
703,8768072.0,8677220.883,84573288.441
710,18976953.0,7584444.817,127623709.352
715,5290.0,0.0,70698.8
728,2428382.0,1486953.61,25020975.687
762,13725.0,7329.908,123333.71900000001
856,3338667.0,3432477.373,32727715.523000002
862,1171248.0,676329.532,11380872.664
874,21477.0,15255.849999999999,257356.52500000002
876,1624422.0,1697765.107,16187689.842
879,1043563.0,1286625.38,12096674.75
883,747412.0,832780.45,7877858.9
884,372616.0,431771.475,4087933.475
886,0.0,777.9,9605.5
887,4492161.0,4446866.1,44699839.569
889,4473276.0,4466151.61,42583477.514
913,66407.0,38989.655,656068.896
963,916183.0,946787.427,9252006.177
976,1000046.0,1356548.317,12859348.206
983,4881738.0,5021194.772,48939578.429
990,1737404.0,1065762.0829999999,17931821.542
991,5210498.0,1975885.608,33248107.498999998
992,0.0,55917.181,3381875.077
994,6925548.0,7196134.229,70137795.295
995,0.0,0.0,0.0
997,1658109.0,1705426.8499999999,16260738.308
1001,4762761.0,4526193.386,44187386.433
1004,2897761.0,2994571.452,23563498.544
1007,1199041.0,748959.963,12602113.486
1008,66725.0,68064.195,663392.384
1012,1020047.0,1258642.0219999999,12318607.888
1016,2772.0,0.0,45482.2
1040,40843.0,47316.611,461185.104
1047,405557.0,453574.457,4329877.575
1068,53449.0,0.0,602887.095
1073,0.0,283891.838,2860638.212
1081,0.0,0.0,0.0
1082,5450692.0,5478142.3,52232489.325
1091,942043.0,1019408.05,9719747.225
1104,1224617.0,1305468.737,12458284.273
1122,263519.0,210709.305,3554398.289
1131,3070.0,3659.517,60445.820999999996
1167,811937.0,1003529.7849999999,9568391.947
1206,10275.0,0.0,170455.24099999998
1217,26047.0,20167.172,338633.07399999996
1230,480.0,390.832,6582.435
1233,3164.0,2039.589,34321.450000000004
1235,1520.0,1047.064,17623.414
1239,1521111.0,644324.479,10841966.64
1240,134118.0,87637.59,1473745.773
1241,6650553.0,6912975.648,65925746.963
1248,5715.0,0.0,201327.3
1250,2137047.0,2181852.158,21159756.632
1268,243288.0,193589.122,3269468.305
1271,290.0,168.146,2835.279
1295,3752.0,0.0,91023.5
1305,13865.0,0.0,228043.7
1336,11882.0,1949.35,166228.21899999998
1353,948161.0,539187.029,9072868.604
1355,1458548.0,1516834.619,15795745.82
1356,10911256.0,10547018.842,102797458.607
1363,4676622.0,1878987.956,31617572.044
1364,7340568.0,6995650.739,68286753.78299999
1366,37974.0,22061.642,373420.15900000004
1374,501812.0,504216.512,4914382.851
1378,7584661.0,3316502.109,52114080.138
1379,4089194.0,4705547.174,44866116.756
1381,0.0,0.0,0.0
1382,0.0,0.0,0.0
1383,3116.0,0.0,50084.7
1384,176455.0,176678.565,1722022.663
1391,3224167.0,2271277.068,38218653.182
1393,1017215.0,1182981.035,11279371.814
1396,3841940.0,1632662.042,27472642.949
1400,503159.0,304082.141,5116865.048
1402,1713462.0,1087990.954,18307564.101999998
1403,9734496.0,4846137.255,81544367.131
1404,1120.0,750.5219999999999,12628.037
1416,2267507.0,1435790.6979999999,24159929.982
1417,25051.0,18866.88,317446.994
1439,28765.0,20176.954,339518.653
1464,58208.0,41180.423,692928.76
1507,18599.0,16456.563000000002,193733.896
1554,106152.0,123320.10399999999,1341439.419
1556,219390.0,140663.258,2265402.1180000002
1560,3882.0,3190.805,53688.115
1564,1521.0,1953.048,24066.249999999996
1571,484178.0,439272.376,5546031.768
1572,282632.0,267877.677,2854660.235
1573,1259835.0,1284643.79,12531503.731
1586,930.0,0.0,16865.300000000003
1588,1933965.0,844116.246,14197747.535
1592,1899.0,2724.5,33620.5
1594,0.0,0.0,127422.871
1595,2027427.0,789389.602,13292160.9
1599,320540.0,192024.63100000002,3172012.4839999997
1631,74.0,0.0,1119.9
1642,2848.0,1540.799,28185.505
1643,115.0,0.0,1568.9
1660,24522.0,12410.217,202330.249
1678,4050.0,2143.5,43352.3
1682,52643.0,33339.974,560039.6190000001
1702,1828950.0,2109575.665,20504908.273000002
1710,7290821.0,7425853.869,70803324.577
1728,38278.0,24966.0,420078.95
1730,5525.0,3958.8,67111.9
1733,14295504.0,14276708.615,136084002.376
1740,261675.0,242207.638,3127562.989
