,state,Gas,Gas_CC,Gas_CC_CCS,Gas_SC,Wind,Solar,Coal,Coal_30_CCS,Coal_90_CCS
31,NM,1.025,1.025,1.0250000000000001,1.06175,0.9515,1.00075,0.9212500000000001,0.975,1.0265
32,NY,1.143125,1.143125,1.143125,1.13,1.06425,1.056625,1.065,1.05,1.09475
33,NC,0.97,0.97,0.97,1.0179999999999998,0.9410000000000001,0.9644999999999999,0.899,0.95,0.9909999999999999
34,ND,0.9831666666666665,0.9831666666666665,0.9831666666666666,1.0145,0.9664999999999999,1.024333333333333,0.9493333333333333,1.0,0.9913333333333333
35,OH,1.0489999999999997,1.0489999999999997,1.0489999999999997,1.0611666666666668,0.9983333333333332,1.0268333333333333,0.9866666666666667,1.0,1.0441666666666667
36,OK,0.9833750000000001,0.9833750000000001,0.983375,1.022625,0.9548749999999999,0.9973749999999999,0.9214999999999999,0.9625,0.9892499999999999
37,OR,1.0505,1.0505,1.0505,1.0645,0.967,1.0325,0.9750000000000001,1.0,1.067
38,PA,1.0772,1.0772,1.0772,1.0852,0.9800000000000001,1.0298,0.9938,0.9800000000000001,1.0721999999999998
39,RI,1.115,1.115,1.115,1.105,1.009,1.068,1.034,1.0,1.075
40,SC,0.97,0.97,0.97,1.0179999999999998,0.9410000000000001,0.9644999999999999,0.899,0.95,0.9909999999999999
41,SD,0.9831666666666665,0.9831666666666665,0.9831666666666666,1.0145,0.9664999999999999,1.024333333333333,0.9493333333333333,1.0,0.9913333333333333
42,TN,1.00125,1.00125,1.00125,1.0314999999999999,0.96675,1.0015,0.93775,0.95,1.0115
43,TX,0.98825,0.98825,0.9882500000000001,1.02925,0.9359999999999999,0.9914999999999999,0.9107500000000001,0.95,0.9914999999999999
44,UT,1.009,1.009,1.0090000000000001,1.0443333333333333,0.9513333333333334,1.0076666666666665,0.9296666666666665,0.9666666666666667,1.0163333333333333
45,VT,1.115,1.115,1.115,1.105,1.009,1.068,1.034,1.0,1.075
46,VA,1.0512857142857144,1.0512857142857144,1.0512857142857142,1.0645714285714285,0.9895714285714285,1.0185714285714287,0.977142857142857,0.9714285714285715,1.0495714285714286
47,WA,1.0505,1.0505,1.0505,1.0645,0.967,1.0325,0.9750000000000001,1.0,1.067
48,WV,1.0842,1.0842,1.0841999999999998,1.0868,1.0122,1.0366000000000002,1.0044,1.0,1.0719999999999998
49,WI,0.983,0.983,0.983,1.0108000000000001,0.9667999999999999,1.0197999999999998,0.9554,0.9800000000000001,0.9917999999999999
50,WY,0.997,0.997,0.997,1.0375,0.967,1.011,0.9225000000000001,1.0,1.0065
